Timestamp,"MB Temp #1","MB Temp #2","MB Temp #3","MB Temp #4","MB Temp #5","MB Temp #6","MB Fan #1","MB Fan #2","MB Fan #3","MB VCPU","CPU Load","GPU Temp","GPU Fan","H115i PRO Temp","H115i PRO Fan #1","H115i PRO Fan #2","H115i PRO Pump"
14/1/2020 18:45:01 PM,30.00°C,30.00°C,58.00°C,34.00°C,35.00°C,36.00°C,935RPM,837RPM,863RPM,1.38V,29%,46.00°C,782RPM,34.00°C,540RPM,540RPM,930RPM
14/1/2020 18:45:06 PM,30.00°C,31.00°C,62.00°C,34.00°C,36.00°C,37.00°C,936RPM,840RPM,863RPM,1.40V,7%,36.00°C,0RPM,34.00°C,600RPM,540RPM,960RPM
14/1/2020 18:45:11 PM,30.00°C,31.00°C,59.00°C,34.00°C,36.00°C,38.00°C,943RPM,841RPM,859RPM,1.40V,13%,37.00°C,0RPM,34.00°C,600RPM,600RPM,960RPM
14/1/2020 18:45:16 PM,31.00°C,32.00°C,62.00°C,34.00°C,37.00°C,38.00°C,941RPM,853RPM,881RPM,1.39V,4%,37.00°C,0RPM,34.00°C,540RPM,600RPM,960RPM
14/1/2020 18:45:21 PM,31.00°C,32.00°C,53.00°C,34.00°C,36.00°C,39.00°C,939RPM,853RPM,874RPM,1.45V,4%,38.00°C,0RPM,34.00°C,540RPM,540RPM,960RPM
14/1/2020 18:45:26 PM,31.00°C,33.00°C,49.00°C,34.00°C,36.00°C,40.00°C,945RPM,852RPM,880RPM,1.43V,3%,38.00°C,0RPM,33.80°C,591RPM,580RPM,960RPM
14/1/2020 18:45:31 PM,31.00°C,33.00°C,45.00°C,34.00°C,36.00°C,40.00°C,948RPM,857RPM,881RPM,1.45V,2%,39.00°C,0RPM,33.60°C,561RPM,559RPM,960RPM
14/1/2020 18:45:36 PM,32.00°C,33.00°C,50.00°C,34.00°C,37.00°C,41.00°C,948RPM,886RPM,906RPM,1.45V,2%,40.00°C,0RPM,33.50°C,556RPM,552RPM,960RPM
14/1/2020 18:45:41 PM,32.00°C,33.00°C,47.00°C,34.00°C,36.00°C,41.00°C,948RPM,881RPM,912RPM,1.42V,3%,40.00°C,0RPM,33.30°C,553RPM,551RPM,960RPM
14/1/2020 18:45:46 PM,32.00°C,34.00°C,51.00°C,34.00°C,37.00°C,41.00°C,949RPM,884RPM,912RPM,1.43V,4%,41.00°C,0RPM,33.20°C,541RPM,540RPM,960RPM
14/1/2020 18:45:51 PM,32.00°C,34.00°C,45.00°C,34.00°C,37.00°C,41.00°C,948RPM,886RPM,906RPM,1.45V,3%,41.00°C,0RPM,33.10°C,540RPM,540RPM,990RPM
14/1/2020 18:45:56 PM,32.00°C,34.00°C,52.00°C,34.00°C,37.00°C,42.00°C,948RPM,887RPM,912RPM,1.43V,3%,42.00°C,0RPM,33.00°C,543RPM,540RPM,990RPM
14/1/2020 18:46:01 PM,33.00°C,34.00°C,45.00°C,34.00°C,37.00°C,42.00°C,957RPM,884RPM,915RPM,1.43V,4%,42.00°C,0RPM,32.90°C,540RPM,540RPM,960RPM
14/1/2020 18:46:06 PM,33.00°C,34.00°C,48.00°C,34.00°C,37.00°C,42.00°C,963RPM,911RPM,934RPM,1.43V,6%,42.00°C,0RPM,32.80°C,540RPM,540RPM,960RPM
14/1/2020 18:46:11 PM,33.00°C,35.00°C,45.00°C,34.00°C,37.00°C,42.00°C,966RPM,916RPM,940RPM,1.43V,3%,43.00°C,0RPM,32.70°C,540RPM,540RPM,960RPM
