Timestamp,"MB Temp #1","MB Temp #2","MB Temp #3","MB Temp #4","MB Temp #5","MB Temp #6","MB Fan #1","MB Fan #2","MB Fan #3","MB VCPU","CPU Load","GPU Temp","GPU Fan","H115i PRO Temp","H115i PRO Fan #1","H115i PRO Fan #2","H115i PRO Pump"
11/3/2020 21:00:25 PM,37.00°C,43.00°C,56.00°C,40.00°C,41.00°C,47.00°C,945RPM,1043RPM,1053RPM,0.89V,14%,48.00°C,795RPM,31.00°C,480RPM,491RPM,960RPM
11/3/2020 21:00:30 PM,37.00°C,43.00°C,51.00°C,40.00°C,41.00°C,47.00°C,948RPM,1047RPM,1058RPM,0.89V,1%,48.00°C,796RPM,31.10°C,480RPM,489RPM,960RPM
11/3/2020 21:00:35 PM,37.00°C,43.00°C,53.00°C,40.00°C,41.00°C,47.00°C,939RPM,1042RPM,1060RPM,1.42V,7%,48.00°C,795RPM,31.10°C,480RPM,493RPM,960RPM
11/3/2020 21:00:40 PM,37.00°C,43.00°C,55.00°C,40.00°C,41.00°C,47.00°C,945RPM,1043RPM,1056RPM,0.91V,4%,48.00°C,796RPM,31.10°C,482RPM,491RPM,960RPM
11/3/2020 21:00:45 PM,37.00°C,43.00°C,50.00°C,40.00°C,41.00°C,48.00°C,944RPM,1045RPM,1058RPM,0.92V,2%,48.00°C,795RPM,31.20°C,480RPM,489RPM,960RPM
11/3/2020 21:00:50 PM,37.00°C,43.00°C,51.00°C,40.00°C,41.00°C,47.00°C,948RPM,1042RPM,1058RPM,0.91V,2%,48.00°C,796RPM,31.20°C,480RPM,493RPM,960RPM
11/3/2020 21:00:55 PM,37.00°C,44.00°C,42.00°C,40.00°C,41.00°C,47.00°C,944RPM,1048RPM,1053RPM,0.92V,5%,48.00°C,794RPM,31.20°C,480RPM,491RPM,960RPM
11/3/2020 21:01:00 PM,37.00°C,43.00°C,47.00°C,40.00°C,41.00°C,47.00°C,944RPM,1043RPM,1056RPM,0.95V,2%,48.00°C,795RPM,31.20°C,480RPM,488RPM,960RPM
11/3/2020 21:01:05 PM,37.00°C,43.00°C,58.00°C,40.00°C,41.00°C,47.00°C,948RPM,1043RPM,1056RPM,1.40V,4%,48.00°C,794RPM,31.10°C,483RPM,493RPM,960RPM
11/3/2020 21:01:10 PM,37.00°C,43.00°C,49.00°C,40.00°C,41.00°C,48.00°C,944RPM,1047RPM,1056RPM,1.43V,3%,47.00°C,795RPM,31.10°C,480RPM,489RPM,960RPM
11/3/2020 21:01:15 PM,37.00°C,43.00°C,44.00°C,40.00°C,41.00°C,47.00°C,948RPM,1047RPM,1056RPM,0.91V,3%,47.00°C,795RPM,31.10°C,480RPM,488RPM,960RPM
11/3/2020 21:01:20 PM,37.00°C,43.00°C,46.00°C,40.00°C,41.00°C,47.00°C,944RPM,1050RPM,1056RPM,0.94V,2%,47.00°C,796RPM,31.10°C,480RPM,492RPM,960RPM
11/3/2020 21:01:25 PM,37.00°C,43.00°C,38.00°C,40.00°C,41.00°C,47.00°C,941RPM,1043RPM,1056RPM,0.92V,3%,47.00°C,795RPM,31.10°C,480RPM,489RPM,930RPM
11/3/2020 21:01:30 PM,37.00°C,43.00°C,43.00°C,40.00°C,41.00°C,47.00°C,941RPM,1048RPM,1058RPM,1.43V,1%,47.00°C,795RPM,31.10°C,480RPM,487RPM,960RPM
11/3/2020 21:01:35 PM,37.00°C,43.00°C,44.00°C,40.00°C,41.00°C,47.00°C,948RPM,1045RPM,1058RPM,0.92V,2%,47.00°C,795RPM,31.00°C,480RPM,491RPM,960RPM
