Timestamp,"MB Temp #1","MB Temp #2","MB Temp #3","MB Temp #4","MB Temp #5","MB Temp #6","MB Fan #1","MB Fan #2","MB Fan #3","MB VCPU","CPU Load","GPU Temp","GPU Fan","H115i PRO Temp","H115i PRO Fan #1","H115i PRO Fan #2","H115i PRO Pump"
29/1/2020 14:25:55 PM,26.00°C,27.00°C,41.00°C,26.00°C,29.00°C,32.00°C,936RPM,711RPM,728RPM,1.43V,3%,28.00°C,0RPM,28.20°C,420RPM,480RPM,960RPM
29/1/2020 14:26:00 PM,26.00°C,27.00°C,44.00°C,26.00°C,30.00°C,33.00°C,945RPM,726RPM,740RPM,1.48V,10%,29.00°C,0RPM,28.30°C,420RPM,480RPM,960RPM
29/1/2020 14:26:05 PM,26.00°C,28.00°C,47.00°C,27.00°C,30.00°C,34.00°C,945RPM,725RPM,741RPM,1.43V,4%,30.00°C,0RPM,28.40°C,420RPM,500RPM,930RPM
29/1/2020 14:26:10 PM,26.00°C,28.00°C,52.00°C,27.00°C,30.00°C,34.00°C,943RPM,727RPM,742RPM,1.38V,2%,30.00°C,0RPM,28.40°C,474RPM,468RPM,930RPM
29/1/2020 14:26:15 PM,27.00°C,29.00°C,44.00°C,27.00°C,30.00°C,35.00°C,951RPM,741RPM,754RPM,1.42V,2%,31.00°C,0RPM,28.50°C,464RPM,465RPM,960RPM
29/1/2020 14:26:20 PM,27.00°C,29.00°C,39.00°C,27.00°C,30.00°C,35.00°C,948RPM,741RPM,755RPM,1.43V,2%,31.00°C,0RPM,28.50°C,463RPM,462RPM,960RPM
29/1/2020 14:26:25 PM,27.00°C,29.00°C,38.00°C,27.00°C,30.00°C,35.00°C,945RPM,745RPM,756RPM,1.43V,4%,32.00°C,0RPM,28.50°C,462RPM,456RPM,960RPM
29/1/2020 14:26:30 PM,27.00°C,29.00°C,45.00°C,27.00°C,31.00°C,36.00°C,943RPM,742RPM,756RPM,1.43V,2%,32.00°C,0RPM,28.50°C,458RPM,456RPM,960RPM
29/1/2020 14:26:35 PM,27.00°C,30.00°C,40.00°C,27.00°C,31.00°C,36.00°C,940RPM,746RPM,758RPM,1.42V,3%,33.00°C,0RPM,28.50°C,461RPM,462RPM,960RPM
29/1/2020 14:26:40 PM,27.00°C,30.00°C,47.00°C,27.00°C,31.00°C,36.00°C,944RPM,744RPM,756RPM,1.44V,2%,33.00°C,0RPM,28.60°C,463RPM,461RPM,960RPM
