Timestamp,"MB Temp #1","MB Temp #2","MB Temp #3","MB Temp #4","MB Temp #5","MB Temp #6","MB Fan #1","MB Fan #2","MB Fan #3","MB VCPU","CPU Load","GPU Temp","GPU Fan","H115i PRO Temp","H115i PRO Fan #1","H115i PRO Fan #2","H115i PRO Pump"
22/1/2020 20:59:54 PM,23.00°C,24.00°C,50.00°C,24.00°C,27.00°C,28.00°C,927RPM,668RPM,670RPM,1.42V,10%,24.00°C,0RPM,24.00°C,420RPM,420RPM,930RPM
22/1/2020 20:59:59 PM,24.00°C,25.00°C,55.00°C,24.00°C,27.00°C,29.00°C,930RPM,668RPM,669RPM,1.42V,8%,25.00°C,0RPM,24.30°C,420RPM,480RPM,960RPM
22/1/2020 21:00:04 PM,24.00°C,25.00°C,46.00°C,24.00°C,27.00°C,30.00°C,934RPM,664RPM,670RPM,1.45V,3%,25.00°C,0RPM,24.60°C,420RPM,420RPM,930RPM
22/1/2020 21:00:09 PM,24.00°C,25.00°C,42.00°C,24.00°C,26.00°C,30.00°C,930RPM,668RPM,676RPM,1.46V,2%,26.00°C,0RPM,24.70°C,420RPM,514RPM,930RPM
22/1/2020 21:00:14 PM,25.00°C,26.00°C,46.00°C,24.00°C,27.00°C,31.00°C,930RPM,683RPM,688RPM,1.43V,13%,26.00°C,0RPM,24.80°C,483RPM,458RPM,930RPM
22/1/2020 21:00:19 PM,25.00°C,26.00°C,50.00°C,24.00°C,27.00°C,32.00°C,931RPM,682RPM,689RPM,1.43V,3%,27.00°C,0RPM,24.80°C,443RPM,438RPM,930RPM
22/1/2020 21:00:24 PM,25.00°C,27.00°C,45.00°C,24.00°C,27.00°C,32.00°C,930RPM,684RPM,687RPM,1.42V,2%,27.00°C,0RPM,24.90°C,432RPM,428RPM,930RPM
22/1/2020 21:00:29 PM,25.00°C,27.00°C,38.00°C,25.00°C,27.00°C,32.00°C,931RPM,679RPM,692RPM,1.42V,1%,28.00°C,0RPM,24.90°C,429RPM,424RPM,930RPM
22/1/2020 21:00:34 PM,25.00°C,27.00°C,47.00°C,25.00°C,28.00°C,32.00°C,935RPM,680RPM,687RPM,1.43V,5%,28.00°C,0RPM,24.90°C,428RPM,426RPM,930RPM
22/1/2020 21:00:39 PM,25.00°C,27.00°C,43.00°C,25.00°C,28.00°C,32.00°C,934RPM,685RPM,691RPM,1.43V,3%,29.00°C,0RPM,24.90°C,429RPM,422RPM,930RPM
22/1/2020 21:00:44 PM,25.00°C,27.00°C,38.00°C,25.00°C,28.00°C,33.00°C,935RPM,680RPM,690RPM,1.42V,4%,29.00°C,0RPM,25.00°C,431RPM,424RPM,960RPM
22/1/2020 21:00:49 PM,25.00°C,28.00°C,46.00°C,25.00°C,28.00°C,33.00°C,936RPM,684RPM,687RPM,1.43V,5%,30.00°C,0RPM,25.00°C,426RPM,421RPM,960RPM
22/1/2020 21:00:54 PM,26.00°C,28.00°C,43.00°C,25.00°C,28.00°C,33.00°C,936RPM,683RPM,692RPM,1.44V,16%,31.00°C,0RPM,25.10°C,427RPM,424RPM,960RPM
22/1/2020 21:00:59 PM,26.00°C,28.00°C,45.00°C,25.00°C,28.00°C,34.00°C,930RPM,712RPM,722RPM,1.43V,3%,31.00°C,0RPM,25.20°C,428RPM,421RPM,930RPM
22/1/2020 21:01:04 PM,26.00°C,29.00°C,47.00°C,25.00°C,28.00°C,34.00°C,936RPM,714RPM,720RPM,1.42V,2%,31.00°C,0RPM,25.20°C,429RPM,424RPM,930RPM
22/1/2020 21:01:09 PM,26.00°C,29.00°C,42.00°C,25.00°C,28.00°C,34.00°C,930RPM,713RPM,720RPM,1.42V,3%,32.00°C,0RPM,25.30°C,431RPM,421RPM,960RPM
22/1/2020 21:01:14 PM,26.00°C,29.00°C,46.00°C,25.00°C,28.00°C,35.00°C,932RPM,711RPM,720RPM,1.43V,3%,32.00°C,0RPM,25.30°C,426RPM,424RPM,930RPM
22/1/2020 21:01:19 PM,26.00°C,30.00°C,38.00°C,25.00°C,28.00°C,35.00°C,932RPM,714RPM,724RPM,1.42V,3%,32.00°C,0RPM,25.30°C,427RPM,421RPM,960RPM
22/1/2020 21:01:24 PM,26.00°C,30.00°C,35.00°C,26.00°C,29.00°C,35.00°C,936RPM,712RPM,720RPM,1.43V,3%,33.00°C,0RPM,25.30°C,428RPM,424RPM,930RPM
22/1/2020 21:01:29 PM,27.00°C,30.00°C,40.00°C,26.00°C,29.00°C,35.00°C,938RPM,731RPM,737RPM,1.43V,2%,33.00°C,0RPM,25.30°C,429RPM,420RPM,960RPM
22/1/2020 21:01:34 PM,27.00°C,30.00°C,36.00°C,26.00°C,29.00°C,35.00°C,936RPM,731RPM,739RPM,1.44V,4%,33.00°C,0RPM,25.30°C,425RPM,423RPM,960RPM
22/1/2020 21:01:39 PM,27.00°C,30.00°C,42.00°C,26.00°C,29.00°C,35.00°C,934RPM,732RPM,734RPM,1.43V,3%,34.00°C,0RPM,25.30°C,426RPM,426RPM,930RPM
22/1/2020 21:01:44 PM,27.00°C,30.00°C,36.00°C,26.00°C,29.00°C,36.00°C,935RPM,731RPM,735RPM,1.45V,2%,34.00°C,0RPM,25.40°C,427RPM,423RPM,930RPM
22/1/2020 21:01:49 PM,27.00°C,31.00°C,42.00°C,27.00°C,29.00°C,36.00°C,936RPM,727RPM,739RPM,1.44V,4%,35.00°C,0RPM,25.40°C,429RPM,426RPM,930RPM
22/1/2020 21:01:54 PM,27.00°C,31.00°C,38.00°C,27.00°C,29.00°C,36.00°C,934RPM,731RPM,740RPM,1.43V,15%,35.00°C,0RPM,25.40°C,430RPM,422RPM,930RPM
22/1/2020 21:01:59 PM,27.00°C,31.00°C,44.00°C,27.00°C,30.00°C,36.00°C,936RPM,729RPM,741RPM,1.42V,4%,36.00°C,0RPM,25.50°C,425RPM,425RPM,960RPM
22/1/2020 21:02:04 PM,27.00°C,31.00°C,45.00°C,27.00°C,30.00°C,37.00°C,939RPM,729RPM,741RPM,1.43V,1%,36.00°C,0RPM,25.60°C,427RPM,422RPM,960RPM
