Timestamp,"MB Temp #1","MB Temp #2","MB Temp #3","MB Temp #4","MB Temp #5","MB Temp #6","MB Fan #1","MB Fan #2","MB Fan #3","MB VCPU","CPU Load","GPU Temp","GPU Fan","H115i PRO Temp","H115i PRO Fan #1","H115i PRO Fan #2","H115i PRO Pump"
5/3/2020 07:35:08 AM,37.00°C,44.00°C,55.00°C,40.00°C,42.00°C,46.00°C,943RPM,1055RPM,1056RPM,0.89V,6%,48.00°C,793RPM,29.60°C,700RPM,711RPM,930RPM
5/3/2020 07:35:13 AM,37.00°C,44.00°C,56.00°C,40.00°C,42.00°C,45.00°C,941RPM,1058RPM,1050RPM,1.46V,5%,48.00°C,794RPM,29.60°C,703RPM,711RPM,930RPM
5/3/2020 07:35:18 AM,38.00°C,44.00°C,51.00°C,40.00°C,42.00°C,45.00°C,944RPM,1058RPM,1048RPM,0.92V,5%,48.00°C,793RPM,29.60°C,698RPM,710RPM,960RPM
5/3/2020 07:35:23 AM,38.00°C,44.00°C,52.00°C,40.00°C,42.00°C,45.00°C,945RPM,1056RPM,1047RPM,0.92V,3%,48.00°C,794RPM,29.50°C,701RPM,711RPM,960RPM
5/3/2020 07:35:28 AM,38.00°C,44.00°C,53.00°C,40.00°C,42.00°C,45.00°C,944RPM,1056RPM,1047RPM,0.90V,0%,48.00°C,794RPM,29.50°C,688RPM,698RPM,960RPM
5/3/2020 07:35:33 AM,38.00°C,44.00°C,48.00°C,40.00°C,42.00°C,45.00°C,943RPM,1060RPM,1055RPM,1.45V,5%,48.00°C,794RPM,29.40°C,684RPM,696RPM,960RPM
5/3/2020 07:35:38 AM,38.00°C,44.00°C,51.00°C,40.00°C,42.00°C,45.00°C,944RPM,1056RPM,1050RPM,1.44V,8%,47.00°C,794RPM,29.40°C,679RPM,695RPM,960RPM
5/3/2020 07:35:43 AM,38.00°C,44.00°C,53.00°C,40.00°C,42.00°C,45.00°C,945RPM,1058RPM,1053RPM,1.46V,9%,48.00°C,792RPM,29.30°C,670RPM,685RPM,960RPM
5/3/2020 07:35:48 AM,38.00°C,44.00°C,50.00°C,40.00°C,42.00°C,45.00°C,944RPM,1058RPM,1048RPM,1.42V,5%,48.00°C,793RPM,29.40°C,670RPM,681RPM,930RPM
5/3/2020 07:35:53 AM,38.00°C,44.00°C,51.00°C,40.00°C,42.00°C,45.00°C,945RPM,1056RPM,1053RPM,1.44V,6%,47.00°C,793RPM,29.40°C,672RPM,684RPM,960RPM
5/3/2020 07:35:58 AM,38.00°C,44.00°C,48.00°C,40.00°C,42.00°C,45.00°C,941RPM,1055RPM,1047RPM,1.42V,4%,47.00°C,792RPM,29.40°C,677RPM,684RPM,960RPM
5/3/2020 07:36:03 AM,38.00°C,44.00°C,50.00°C,40.00°C,42.00°C,45.00°C,944RPM,1060RPM,1050RPM,1.42V,6%,47.00°C,794RPM,29.40°C,675RPM,690RPM,960RPM
5/3/2020 07:36:08 AM,38.00°C,44.00°C,54.00°C,40.00°C,42.00°C,46.00°C,944RPM,1056RPM,1050RPM,1.42V,4%,47.00°C,794RPM,29.40°C,679RPM,689RPM,960RPM
5/3/2020 07:36:13 AM,38.00°C,44.00°C,50.00°C,40.00°C,42.00°C,45.00°C,948RPM,1056RPM,1050RPM,1.44V,5%,47.00°C,795RPM,29.30°C,677RPM,689RPM,960RPM
5/3/2020 07:36:18 AM,38.00°C,44.00°C,52.00°C,40.00°C,42.00°C,46.00°C,948RPM,1056RPM,1056RPM,1.45V,5%,47.00°C,794RPM,29.30°C,666RPM,678RPM,960RPM
5/3/2020 07:36:23 AM,38.00°C,44.00°C,55.00°C,40.00°C,42.00°C,45.00°C,948RPM,1055RPM,1056RPM,1.43V,3%,47.00°C,795RPM,29.30°C,664RPM,670RPM,960RPM
5/3/2020 07:36:28 AM,38.00°C,44.00°C,52.00°C,40.00°C,42.00°C,46.00°C,944RPM,1058RPM,1055RPM,1.42V,7%,47.00°C,793RPM,29.30°C,654RPM,664RPM,960RPM
5/3/2020 07:36:33 AM,38.00°C,44.00°C,53.00°C,40.00°C,43.00°C,46.00°C,948RPM,1060RPM,1050RPM,1.42V,3%,47.00°C,793RPM,29.30°C,654RPM,660RPM,960RPM
