Timestamp,"MB Temp #1","MB Temp #2","MB Temp #3","MB Temp #4","MB Temp #5","MB Temp #6","MB Fan #1","MB Fan #2","MB Fan #3","MB VCPU","CPU Load","GPU Temp","GPU Fan","H115i PRO Temp","H115i PRO Fan #1","H115i PRO Fan #2","H115i PRO Pump"
24/1/2020 07:39:02 AM,25.00°C,27.00°C,34.00°C,23.00°C,26.00°C,32.00°C,928RPM,686RPM,688RPM,1.44V,2%,30.00°C,0RPM,22.60°C,420RPM,425RPM,930RPM
24/1/2020 07:39:07 AM,25.00°C,27.00°C,36.00°C,24.00°C,26.00°C,32.00°C,930RPM,683RPM,689RPM,1.42V,1%,31.00°C,0RPM,22.60°C,420RPM,420RPM,930RPM
24/1/2020 07:39:12 AM,25.00°C,28.00°C,33.00°C,24.00°C,26.00°C,32.00°C,932RPM,683RPM,688RPM,0.94V,1%,31.00°C,0RPM,22.60°C,420RPM,420RPM,930RPM
24/1/2020 07:39:17 AM,25.00°C,28.00°C,38.00°C,24.00°C,26.00°C,32.00°C,934RPM,687RPM,689RPM,1.43V,2%,32.00°C,0RPM,22.60°C,420RPM,420RPM,930RPM
24/1/2020 07:39:22 AM,25.00°C,28.00°C,40.00°C,24.00°C,26.00°C,33.00°C,934RPM,691RPM,689RPM,1.45V,3%,32.00°C,0RPM,22.50°C,420RPM,425RPM,930RPM
24/1/2020 07:39:27 AM,25.00°C,28.00°C,37.00°C,24.00°C,26.00°C,33.00°C,932RPM,690RPM,689RPM,1.42V,1%,32.00°C,0RPM,22.50°C,420RPM,420RPM,930RPM
24/1/2020 07:39:32 AM,25.00°C,29.00°C,40.00°C,25.00°C,26.00°C,33.00°C,930RPM,688RPM,689RPM,1.43V,3%,33.00°C,0RPM,22.50°C,420RPM,421RPM,960RPM
24/1/2020 07:39:37 AM,25.00°C,29.00°C,46.00°C,25.00°C,27.00°C,33.00°C,921RPM,691RPM,690RPM,1.43V,10%,33.00°C,0RPM,22.60°C,420RPM,425RPM,930RPM
24/1/2020 07:39:42 AM,25.00°C,29.00°C,41.00°C,25.00°C,27.00°C,33.00°C,930RPM,693RPM,691RPM,1.43V,4%,34.00°C,0RPM,22.60°C,420RPM,420RPM,930RPM
24/1/2020 07:39:47 AM,25.00°C,29.00°C,35.00°C,25.00°C,26.00°C,34.00°C,927RPM,692RPM,691RPM,1.44V,4%,34.00°C,0RPM,22.70°C,420RPM,420RPM,930RPM
24/1/2020 07:39:52 AM,25.00°C,30.00°C,52.00°C,25.00°C,27.00°C,34.00°C,930RPM,694RPM,689RPM,1.42V,1%,34.00°C,0RPM,22.70°C,426RPM,423RPM,930RPM
24/1/2020 07:39:57 AM,25.00°C,30.00°C,47.00°C,25.00°C,27.00°C,34.00°C,928RPM,692RPM,692RPM,1.43V,2%,35.00°C,0RPM,22.80°C,425RPM,420RPM,930RPM
24/1/2020 07:40:02 AM,25.00°C,30.00°C,47.00°C,25.00°C,26.00°C,34.00°C,930RPM,692RPM,693RPM,1.43V,2%,35.00°C,0RPM,22.80°C,424RPM,420RPM,960RPM
24/1/2020 07:40:07 AM,26.00°C,30.00°C,38.00°C,25.00°C,27.00°C,34.00°C,927RPM,713RPM,713RPM,0.96V,1%,35.00°C,0RPM,22.80°C,423RPM,420RPM,930RPM
24/1/2020 07:40:12 AM,25.00°C,30.00°C,35.00°C,25.00°C,27.00°C,35.00°C,927RPM,723RPM,721RPM,1.42V,2%,36.00°C,0RPM,22.80°C,421RPM,423RPM,930RPM
24/1/2020 07:40:17 AM,26.00°C,30.00°C,40.00°C,25.00°C,27.00°C,35.00°C,930RPM,727RPM,722RPM,1.43V,2%,36.00°C,0RPM,22.80°C,420RPM,425RPM,960RPM
24/1/2020 07:40:22 AM,26.00°C,30.00°C,35.00°C,26.00°C,27.00°C,35.00°C,926RPM,727RPM,720RPM,1.42V,1%,36.00°C,0RPM,22.90°C,420RPM,420RPM,960RPM
24/1/2020 07:40:27 AM,26.00°C,30.00°C,41.00°C,26.00°C,27.00°C,35.00°C,928RPM,728RPM,721RPM,1.42V,1%,37.00°C,0RPM,22.90°C,426RPM,420RPM,930RPM
