Timestamp,"MB Temp #1","MB Temp #2","MB Temp #3","MB Temp #4","MB Temp #5","MB Temp #6","MB Fan #1","MB Fan #2","MB Fan #3","MB VCPU","CPU Load","GPU Temp","GPU Fan","H115i PRO Temp","H115i PRO Fan #1","H115i PRO Fan #2","H115i PRO Pump"
23/1/2020 19:57:45 PM,24.00°C,25.00°C,50.00°C,25.00°C,28.00°C,30.00°C,925RPM,660RPM,688RPM,1.40V,13%,26.00°C,0RPM,25.80°C,420RPM,420RPM,960RPM
23/1/2020 19:57:50 PM,24.00°C,25.00°C,55.00°C,25.00°C,28.00°C,30.00°C,930RPM,661RPM,688RPM,1.42V,5%,26.00°C,0RPM,26.10°C,420RPM,420RPM,960RPM
23/1/2020 19:57:55 PM,25.00°C,25.00°C,50.00°C,25.00°C,28.00°C,31.00°C,934RPM,673RPM,702RPM,1.43V,4%,27.00°C,0RPM,26.30°C,420RPM,480RPM,960RPM
23/1/2020 19:58:00 PM,25.00°C,26.00°C,42.00°C,25.00°C,28.00°C,32.00°C,930RPM,676RPM,700RPM,1.45V,3%,27.00°C,0RPM,26.40°C,420RPM,420RPM,960RPM
23/1/2020 19:58:05 PM,25.00°C,27.00°C,45.00°C,25.00°C,28.00°C,32.00°C,932RPM,676RPM,704RPM,1.42V,2%,27.00°C,0RPM,26.40°C,475RPM,452RPM,960RPM
23/1/2020 19:58:10 PM,25.00°C,27.00°C,41.00°C,25.00°C,28.00°C,32.00°C,932RPM,677RPM,703RPM,1.42V,2%,28.00°C,0RPM,26.40°C,445RPM,437RPM,930RPM
23/1/2020 19:58:15 PM,25.00°C,27.00°C,38.00°C,25.00°C,28.00°C,33.00°C,932RPM,678RPM,701RPM,1.42V,2%,29.00°C,0RPM,26.40°C,434RPM,432RPM,960RPM
23/1/2020 19:58:20 PM,25.00°C,27.00°C,43.00°C,25.00°C,28.00°C,33.00°C,936RPM,677RPM,701RPM,1.42V,2%,29.00°C,0RPM,26.40°C,429RPM,426RPM,930RPM
23/1/2020 19:58:25 PM,25.00°C,27.00°C,49.00°C,25.00°C,29.00°C,33.00°C,936RPM,676RPM,705RPM,1.38V,1%,29.00°C,0RPM,26.40°C,433RPM,427RPM,960RPM
23/1/2020 19:58:30 PM,26.00°C,28.00°C,41.00°C,25.00°C,29.00°C,34.00°C,935RPM,692RPM,720RPM,1.42V,2%,30.00°C,0RPM,26.40°C,431RPM,427RPM,960RPM
23/1/2020 19:58:35 PM,26.00°C,28.00°C,48.00°C,25.00°C,29.00°C,34.00°C,932RPM,708RPM,734RPM,1.42V,5%,31.00°C,0RPM,26.40°C,428RPM,429RPM,960RPM
23/1/2020 19:58:40 PM,26.00°C,28.00°C,55.00°C,25.00°C,29.00°C,34.00°C,930RPM,708RPM,737RPM,1.43V,8%,31.00°C,0RPM,26.50°C,427RPM,430RPM,960RPM
23/1/2020 19:58:45 PM,26.00°C,29.00°C,48.00°C,26.00°C,29.00°C,35.00°C,935RPM,708RPM,739RPM,1.44V,10%,31.00°C,0RPM,26.60°C,432RPM,426RPM,930RPM
23/1/2020 19:58:50 PM,26.00°C,29.00°C,42.00°C,26.00°C,30.00°C,35.00°C,940RPM,707RPM,738RPM,1.44V,2%,32.00°C,0RPM,26.60°C,433RPM,425RPM,930RPM
23/1/2020 19:58:55 PM,26.00°C,29.00°C,40.00°C,26.00°C,30.00°C,35.00°C,927RPM,708RPM,738RPM,1.43V,2%,32.00°C,0RPM,26.70°C,436RPM,433RPM,930RPM
23/1/2020 19:59:00 PM,27.00°C,30.00°C,42.00°C,26.00°C,30.00°C,35.00°C,939RPM,724RPM,749RPM,1.43V,3%,33.00°C,0RPM,26.70°C,444RPM,437RPM,960RPM
23/1/2020 19:59:05 PM,27.00°C,30.00°C,49.00°C,26.00°C,30.00°C,36.00°C,939RPM,722RPM,749RPM,1.43V,3%,33.00°C,0RPM,26.70°C,444RPM,441RPM,960RPM
23/1/2020 19:59:10 PM,27.00°C,30.00°C,41.00°C,26.00°C,30.00°C,36.00°C,934RPM,725RPM,748RPM,0.92V,3%,34.00°C,0RPM,26.70°C,444RPM,444RPM,960RPM
