Timestamp,"MB Temp #1","MB Temp #2","MB Temp #3","MB Temp #4","MB Temp #5","MB Temp #6","MB Fan #1","MB Fan #2","MB Fan #3","MB VCPU","CPU Load","GPU Temp","GPU Fan","H115i PRO Temp","H115i PRO Fan #1","H115i PRO Fan #2","H115i PRO Pump"
16/3/2020 10:33:34 AM,29.00°C,29.00°C,55.00°C,32.00°C,33.00°C,34.00°C,922RPM,818RPM,808RPM,1.38V,4%,35.00°C,0RPM,32.40°C,900RPM,900RPM,930RPM
16/3/2020 10:33:39 AM,29.00°C,30.00°C,60.00°C,32.00°C,35.00°C,35.00°C,925RPM,818RPM,811RPM,1.43V,8%,36.00°C,0RPM,32.40°C,900RPM,900RPM,930RPM
16/3/2020 10:33:44 AM,30.00°C,30.00°C,52.00°C,32.00°C,34.00°C,36.00°C,930RPM,846RPM,835RPM,1.43V,3%,36.00°C,0RPM,32.40°C,780RPM,780RPM,960RPM
16/3/2020 10:33:49 AM,30.00°C,30.00°C,58.00°C,32.00°C,34.00°C,36.00°C,928RPM,848RPM,840RPM,1.43V,8%,37.00°C,0RPM,32.30°C,660RPM,660RPM,960RPM
16/3/2020 10:33:54 AM,30.00°C,31.00°C,50.00°C,32.00°C,35.00°C,37.00°C,936RPM,852RPM,839RPM,1.44V,2%,37.00°C,0RPM,32.20°C,540RPM,540RPM,960RPM
16/3/2020 10:33:59 AM,30.00°C,31.00°C,54.00°C,32.00°C,35.00°C,38.00°C,938RPM,858RPM,845RPM,1.44V,6%,38.00°C,0RPM,32.10°C,587RPM,573RPM,930RPM
16/3/2020 10:34:04 AM,30.00°C,32.00°C,51.00°C,32.00°C,35.00°C,38.00°C,935RPM,853RPM,845RPM,1.43V,2%,38.00°C,0RPM,32.00°C,538RPM,537RPM,960RPM
16/3/2020 10:34:09 AM,30.00°C,32.00°C,44.00°C,32.00°C,35.00°C,39.00°C,930RPM,858RPM,840RPM,1.46V,7%,38.00°C,0RPM,31.90°C,516RPM,523RPM,960RPM
16/3/2020 10:34:14 AM,31.00°C,32.00°C,46.00°C,33.00°C,35.00°C,39.00°C,932RPM,868RPM,854RPM,1.46V,2%,39.00°C,0RPM,31.70°C,505RPM,514RPM,960RPM
16/3/2020 10:34:19 AM,31.00°C,32.00°C,52.00°C,33.00°C,35.00°C,39.00°C,934RPM,878RPM,862RPM,1.46V,7%,40.00°C,0RPM,31.60°C,500RPM,507RPM,960RPM
16/3/2020 10:34:24 AM,31.00°C,33.00°C,52.00°C,33.00°C,35.00°C,40.00°C,932RPM,879RPM,862RPM,1.42V,6%,40.00°C,0RPM,31.50°C,499RPM,507RPM,960RPM
16/3/2020 10:34:29 AM,31.00°C,33.00°C,59.00°C,33.00°C,35.00°C,40.00°C,939RPM,874RPM,863RPM,1.45V,7%,41.00°C,0RPM,31.40°C,501RPM,507RPM,960RPM
16/3/2020 10:34:34 AM,31.00°C,33.00°C,50.00°C,33.00°C,35.00°C,40.00°C,934RPM,877RPM,854RPM,1.45V,3%,41.00°C,0RPM,31.40°C,496RPM,510RPM,960RPM
16/3/2020 10:34:39 AM,31.00°C,33.00°C,52.00°C,33.00°C,35.00°C,41.00°C,931RPM,880RPM,858RPM,1.46V,4%,42.00°C,0RPM,31.40°C,498RPM,510RPM,960RPM
16/3/2020 10:34:44 AM,31.00°C,34.00°C,47.00°C,33.00°C,35.00°C,41.00°C,936RPM,882RPM,858RPM,1.45V,3%,42.00°C,0RPM,31.30°C,489RPM,498RPM,960RPM
16/3/2020 10:34:49 AM,31.00°C,34.00°C,40.00°C,33.00°C,36.00°C,41.00°C,934RPM,911RPM,893RPM,0.96V,2%,43.00°C,0RPM,31.20°C,485RPM,496RPM,930RPM
16/3/2020 10:34:54 AM,32.00°C,34.00°C,47.00°C,33.00°C,36.00°C,41.00°C,936RPM,907RPM,887RPM,1.45V,3%,43.00°C,0RPM,31.10°C,486RPM,492RPM,960RPM
16/3/2020 10:34:59 AM,32.00°C,34.00°C,56.00°C,33.00°C,36.00°C,42.00°C,936RPM,905RPM,885RPM,1.42V,8%,43.00°C,0RPM,31.10°C,480RPM,489RPM,930RPM
