Timestamp,"MB Temp #1","MB Temp #2","MB Temp #3","MB Temp #4","MB Temp #5","MB Temp #6","MB Fan #1","MB Fan #2","MB Fan #3","MB VCPU","CPU Load","GPU Temp","GPU Fan","H115i PRO Temp","H115i PRO Fan #1","H115i PRO Fan #2","H115i PRO Pump"
27/1/2020 06:41:26 AM,22.00°C,22.00°C,46.00°C,22.00°C,24.00°C,24.00°C,935RPM,656RPM,676RPM,1.42V,80%,22.00°C,0RPM,21.00°C,420RPM,420RPM,930RPM
27/1/2020 06:41:31 AM,22.00°C,23.00°C,47.00°C,22.00°C,25.00°C,26.00°C,934RPM,656RPM,675RPM,1.38V,59%,23.00°C,0RPM,21.50°C,420RPM,420RPM,930RPM
27/1/2020 06:41:36 AM,22.00°C,24.00°C,47.00°C,22.00°C,26.00°C,27.00°C,936RPM,659RPM,677RPM,1.43V,6%,24.00°C,0RPM,21.90°C,420RPM,420RPM,960RPM
27/1/2020 06:41:41 AM,23.00°C,24.00°C,45.00°C,22.00°C,25.00°C,28.00°C,931RPM,659RPM,678RPM,1.43V,6%,24.00°C,0RPM,22.30°C,420RPM,480RPM,930RPM
27/1/2020 06:41:46 AM,23.00°C,25.00°C,45.00°C,22.00°C,25.00°C,28.00°C,930RPM,659RPM,677RPM,1.42V,7%,25.00°C,0RPM,22.50°C,447RPM,438RPM,960RPM
27/1/2020 06:41:51 AM,23.00°C,25.00°C,44.00°C,22.00°C,25.00°C,29.00°C,934RPM,660RPM,677RPM,1.42V,4%,25.00°C,0RPM,22.60°C,430RPM,424RPM,960RPM
27/1/2020 06:41:56 AM,24.00°C,25.00°C,43.00°C,22.00°C,25.00°C,29.00°C,934RPM,659RPM,679RPM,1.43V,7%,26.00°C,0RPM,22.70°C,426RPM,420RPM,930RPM
27/1/2020 06:42:01 AM,24.00°C,25.00°C,40.00°C,22.00°C,25.00°C,30.00°C,932RPM,659RPM,678RPM,1.43V,3%,26.00°C,0RPM,22.70°C,422RPM,420RPM,930RPM
27/1/2020 06:42:06 AM,24.00°C,25.00°C,41.00°C,22.00°C,25.00°C,30.00°C,932RPM,660RPM,679RPM,1.43V,3%,27.00°C,0RPM,22.70°C,421RPM,420RPM,930RPM
27/1/2020 06:42:11 AM,24.00°C,26.00°C,43.00°C,23.00°C,25.00°C,30.00°C,934RPM,660RPM,678RPM,1.43V,6%,28.00°C,0RPM,22.60°C,422RPM,424RPM,960RPM
27/1/2020 06:42:16 AM,24.00°C,26.00°C,38.00°C,23.00°C,25.00°C,31.00°C,935RPM,659RPM,678RPM,1.43V,25%,28.00°C,0RPM,22.60°C,422RPM,420RPM,930RPM
27/1/2020 06:42:21 AM,25.00°C,26.00°C,44.00°C,23.00°C,26.00°C,31.00°C,932RPM,674RPM,694RPM,1.44V,7%,29.00°C,0RPM,22.60°C,421RPM,421RPM,930RPM
27/1/2020 06:42:26 AM,25.00°C,27.00°C,47.00°C,23.00°C,26.00°C,32.00°C,938RPM,677RPM,694RPM,1.37V,36%,29.00°C,0RPM,22.70°C,421RPM,420RPM,960RPM
27/1/2020 06:42:31 AM,25.00°C,27.00°C,53.00°C,23.00°C,27.00°C,32.00°C,939RPM,676RPM,694RPM,1.38V,4%,29.00°C,0RPM,22.80°C,420RPM,420RPM,930RPM
27/1/2020 06:42:36 AM,25.00°C,27.00°C,45.00°C,23.00°C,27.00°C,32.00°C,934RPM,677RPM,696RPM,1.43V,14%,30.00°C,0RPM,22.90°C,420RPM,422RPM,930RPM
