Timestamp,"MB Temp #1","MB Temp #2","MB Temp #3","MB Temp #4","MB Temp #5","MB Temp #6","MB Fan #1","MB Fan #2","MB Fan #3","MB VCPU","CPU Load","GPU Temp","GPU Fan","H115i PRO Temp","H115i PRO Fan #1","H115i PRO Fan #2","H115i PRO Pump"
26/1/2020 20:38:50 PM,32.00°C,33.00°C,53.00°C,36.00°C,37.00°C,38.00°C,940RPM,862RPM,896RPM,1.40V,3%,41.00°C,0RPM,34.00°C,540RPM,600RPM,960RPM
26/1/2020 20:38:55 PM,32.00°C,34.00°C,53.00°C,36.00°C,37.00°C,39.00°C,943RPM,874RPM,911RPM,1.42V,1%,41.00°C,0RPM,33.90°C,540RPM,540RPM,960RPM
26/1/2020 20:39:00 PM,32.00°C,34.00°C,45.00°C,36.00°C,37.00°C,40.00°C,947RPM,871RPM,911RPM,1.01V,1%,42.00°C,0RPM,33.70°C,540RPM,540RPM,960RPM
26/1/2020 20:39:05 PM,32.00°C,34.00°C,51.00°C,36.00°C,37.00°C,40.00°C,945RPM,872RPM,911RPM,1.44V,1%,42.00°C,0RPM,33.60°C,603RPM,585RPM,930RPM
26/1/2020 20:39:10 PM,32.00°C,34.00°C,52.00°C,36.00°C,38.00°C,41.00°C,947RPM,874RPM,911RPM,1.44V,1%,43.00°C,0RPM,33.50°C,567RPM,560RPM,960RPM
26/1/2020 20:39:15 PM,33.00°C,34.00°C,53.00°C,36.00°C,38.00°C,41.00°C,947RPM,900RPM,943RPM,1.46V,1%,43.00°C,0RPM,33.30°C,553RPM,552RPM,960RPM
26/1/2020 20:39:20 PM,33.00°C,35.00°C,49.00°C,36.00°C,38.00°C,41.00°C,941RPM,902RPM,941RPM,1.45V,2%,43.00°C,0RPM,33.10°C,544RPM,541RPM,960RPM
26/1/2020 20:39:25 PM,33.00°C,35.00°C,41.00°C,36.00°C,38.00°C,42.00°C,951RPM,906RPM,944RPM,1.46V,0%,44.00°C,0RPM,33.10°C,540RPM,540RPM,960RPM
26/1/2020 20:39:30 PM,33.00°C,35.00°C,43.00°C,36.00°C,38.00°C,42.00°C,947RPM,908RPM,941RPM,1.44V,1%,44.00°C,0RPM,33.00°C,540RPM,540RPM,960RPM
26/1/2020 20:39:35 PM,33.00°C,35.00°C,41.00°C,36.00°C,38.00°C,42.00°C,948RPM,905RPM,941RPM,1.43V,0%,45.00°C,0RPM,32.80°C,540RPM,540RPM,960RPM
26/1/2020 20:39:40 PM,33.00°C,36.00°C,45.00°C,36.00°C,38.00°C,42.00°C,948RPM,904RPM,939RPM,1.43V,1%,45.00°C,0RPM,32.70°C,545RPM,540RPM,960RPM
26/1/2020 20:39:45 PM,33.00°C,36.00°C,46.00°C,36.00°C,38.00°C,43.00°C,955RPM,905RPM,941RPM,1.44V,0%,46.00°C,0RPM,32.70°C,540RPM,540RPM,960RPM
26/1/2020 20:39:50 PM,33.00°C,36.00°C,52.00°C,36.00°C,38.00°C,43.00°C,948RPM,908RPM,944RPM,1.46V,0%,46.00°C,0RPM,32.60°C,528RPM,528RPM,960RPM
26/1/2020 20:39:55 PM,33.00°C,36.00°C,55.00°C,36.00°C,38.00°C,43.00°C,951RPM,908RPM,943RPM,1.46V,6%,47.00°C,0RPM,32.50°C,525RPM,525RPM,960RPM
26/1/2020 20:40:00 PM,34.00°C,36.00°C,47.00°C,36.00°C,39.00°C,43.00°C,952RPM,934RPM,971RPM,1.46V,0%,47.00°C,0RPM,32.50°C,518RPM,522RPM,960RPM
26/1/2020 20:40:05 PM,34.00°C,37.00°C,54.00°C,36.00°C,39.00°C,44.00°C,951RPM,931RPM,973RPM,1.46V,1%,47.00°C,0RPM,32.50°C,522RPM,519RPM,960RPM
26/1/2020 20:40:10 PM,34.00°C,37.00°C,45.00°C,36.00°C,39.00°C,44.00°C,948RPM,938RPM,973RPM,1.43V,1%,48.00°C,0RPM,32.50°C,518RPM,519RPM,960RPM
26/1/2020 20:40:15 PM,34.00°C,37.00°C,46.00°C,36.00°C,38.00°C,44.00°C,955RPM,934RPM,970RPM,0.89V,1%,49.00°C,0RPM,32.40°C,522RPM,518RPM,960RPM
26/1/2020 20:40:20 PM,34.00°C,37.00°C,52.00°C,37.00°C,38.00°C,44.00°C,951RPM,932RPM,971RPM,0.90V,1%,49.00°C,0RPM,32.40°C,518RPM,517RPM,960RPM
26/1/2020 20:40:25 PM,34.00°C,37.00°C,52.00°C,37.00°C,38.00°C,44.00°C,951RPM,936RPM,971RPM,1.43V,2%,49.00°C,0RPM,32.30°C,520RPM,516RPM,990RPM
26/1/2020 20:40:30 PM,34.00°C,37.00°C,53.00°C,37.00°C,38.00°C,45.00°C,952RPM,938RPM,973RPM,1.43V,2%,50.00°C,0RPM,32.20°C,523RPM,522RPM,960RPM
26/1/2020 20:40:35 PM,34.00°C,37.00°C,48.00°C,37.00°C,38.00°C,45.00°C,948RPM,934RPM,973RPM,0.91V,1%,50.00°C,0RPM,32.20°C,520RPM,521RPM,960RPM
26/1/2020 20:40:40 PM,34.00°C,38.00°C,49.00°C,37.00°C,38.00°C,45.00°C,955RPM,935RPM,970RPM,0.91V,1%,50.00°C,0RPM,32.20°C,523RPM,520RPM,960RPM
26/1/2020 20:40:45 PM,34.00°C,38.00°C,50.00°C,37.00°C,38.00°C,45.00°C,955RPM,934RPM,971RPM,1.44V,1%,50.00°C,0RPM,32.20°C,520RPM,519RPM,960RPM
26/1/2020 20:40:50 PM,34.00°C,38.00°C,46.00°C,37.00°C,38.00°C,45.00°C,951RPM,940RPM,971RPM,0.92V,0%,51.00°C,0RPM,32.20°C,523RPM,518RPM,960RPM
26/1/2020 20:40:55 PM,34.00°C,38.00°C,46.00°C,37.00°C,38.00°C,45.00°C,953RPM,934RPM,971RPM,0.91V,1%,51.00°C,0RPM,32.20°C,520RPM,513RPM,960RPM
26/1/2020 20:41:00 PM,34.00°C,38.00°C,49.00°C,37.00°C,38.00°C,45.00°C,953RPM,935RPM,971RPM,0.90V,0%,51.00°C,0RPM,32.20°C,523RPM,521RPM,960RPM
26/1/2020 20:41:05 PM,34.00°C,38.00°C,54.00°C,37.00°C,39.00°C,45.00°C,948RPM,932RPM,971RPM,0.90V,1%,52.00°C,0RPM,32.20°C,520RPM,520RPM,960RPM
26/1/2020 20:41:10 PM,34.00°C,38.00°C,45.00°C,38.00°C,39.00°C,45.00°C,953RPM,934RPM,970RPM,0.19V,1%,52.00°C,0RPM,32.20°C,523RPM,518RPM,960RPM
26/1/2020 20:41:15 PM,34.00°C,39.00°C,48.00°C,38.00°C,39.00°C,46.00°C,953RPM,932RPM,971RPM,1.44V,1%,52.00°C,773RPM,32.30°C,520RPM,517RPM,960RPM
