Timestamp,"MB Temp #1","MB Temp #2","MB Temp #3","MB Temp #4","MB Temp #5","MB Temp #6","MB Fan #1","MB Fan #2","MB Fan #3","MB VCPU","CPU Load","GPU Temp","GPU Fan","H115i PRO Temp","H115i PRO Fan #1","H115i PRO Fan #2","H115i PRO Pump"
11/2/2020 08:16:28 AM,22.00°C,23.00°C,43.00°C,21.00°C,24.00°C,26.00°C,940RPM,643RPM,670RPM,0.98V,6%,23.00°C,0RPM,21.30°C,420RPM,420RPM,930RPM
11/2/2020 08:16:33 AM,22.00°C,24.00°C,46.00°C,21.00°C,23.00°C,27.00°C,938RPM,645RPM,670RPM,1.44V,4%,24.00°C,0RPM,21.50°C,420RPM,420RPM,930RPM
11/2/2020 08:16:38 AM,22.00°C,24.00°C,42.00°C,22.00°C,23.00°C,28.00°C,944RPM,647RPM,666RPM,1.43V,3%,24.00°C,0RPM,21.60°C,470RPM,454RPM,960RPM
11/2/2020 08:16:43 AM,22.00°C,24.00°C,48.00°C,22.00°C,24.00°C,28.00°C,945RPM,647RPM,668RPM,1.45V,4%,25.00°C,0RPM,21.70°C,441RPM,429RPM,930RPM
11/2/2020 08:16:48 AM,22.00°C,25.00°C,43.00°C,22.00°C,24.00°C,29.00°C,945RPM,646RPM,672RPM,1.42V,13%,26.00°C,0RPM,21.70°C,425RPM,420RPM,960RPM
11/2/2020 08:16:53 AM,23.00°C,25.00°C,43.00°C,22.00°C,24.00°C,29.00°C,945RPM,646RPM,672RPM,1.44V,74%,26.00°C,0RPM,21.80°C,421RPM,420RPM,930RPM
11/2/2020 08:16:58 AM,23.00°C,25.00°C,48.00°C,22.00°C,25.00°C,30.00°C,948RPM,647RPM,668RPM,1.43V,9%,27.00°C,0RPM,22.00°C,422RPM,420RPM,930RPM
11/2/2020 08:17:03 AM,23.00°C,25.00°C,42.00°C,22.00°C,25.00°C,30.00°C,948RPM,647RPM,672RPM,1.43V,11%,27.00°C,0RPM,22.10°C,425RPM,420RPM,960RPM
11/2/2020 08:17:08 AM,23.00°C,25.00°C,40.00°C,22.00°C,25.00°C,30.00°C,945RPM,648RPM,673RPM,1.44V,3%,27.00°C,0RPM,22.20°C,420RPM,425RPM,960RPM
11/2/2020 08:17:13 AM,24.00°C,25.00°C,45.00°C,22.00°C,24.00°C,30.00°C,941RPM,648RPM,674RPM,1.45V,25%,28.00°C,0RPM,22.20°C,420RPM,420RPM,930RPM
11/2/2020 08:17:18 AM,24.00°C,26.00°C,49.00°C,22.00°C,25.00°C,31.00°C,944RPM,648RPM,676RPM,1.43V,8%,28.00°C,0RPM,22.20°C,421RPM,420RPM,960RPM
11/2/2020 08:17:23 AM,24.00°C,26.00°C,45.00°C,22.00°C,25.00°C,31.00°C,948RPM,648RPM,674RPM,1.44V,6%,29.00°C,0RPM,22.20°C,423RPM,420RPM,960RPM
11/2/2020 08:17:28 AM,24.00°C,26.00°C,37.00°C,23.00°C,25.00°C,32.00°C,947RPM,648RPM,671RPM,1.44V,2%,29.00°C,0RPM,22.20°C,423RPM,420RPM,960RPM
11/2/2020 08:17:33 AM,24.00°C,26.00°C,33.00°C,23.00°C,25.00°C,32.00°C,943RPM,648RPM,669RPM,1.45V,3%,29.00°C,0RPM,22.20°C,424RPM,420RPM,960RPM
11/2/2020 08:17:38 AM,24.00°C,27.00°C,46.00°C,23.00°C,25.00°C,32.00°C,944RPM,649RPM,673RPM,1.46V,1%,30.00°C,0RPM,22.20°C,425RPM,423RPM,930RPM
11/2/2020 08:17:43 AM,25.00°C,27.00°C,49.00°C,23.00°C,25.00°C,32.00°C,945RPM,663RPM,686RPM,1.43V,3%,30.00°C,0RPM,22.20°C,425RPM,420RPM,960RPM
11/2/2020 08:17:48 AM,25.00°C,27.00°C,44.00°C,23.00°C,26.00°C,32.00°C,944RPM,664RPM,685RPM,1.42V,1%,31.00°C,0RPM,22.20°C,425RPM,420RPM,960RPM
11/2/2020 08:17:53 AM,25.00°C,27.00°C,49.00°C,24.00°C,26.00°C,32.00°C,948RPM,665RPM,692RPM,1.43V,7%,31.00°C,0RPM,22.20°C,425RPM,420RPM,960RPM
11/2/2020 08:17:58 AM,25.00°C,27.00°C,44.00°C,24.00°C,26.00°C,32.00°C,948RPM,665RPM,692RPM,1.44V,11%,32.00°C,0RPM,22.20°C,425RPM,420RPM,960RPM
11/2/2020 08:18:03 AM,25.00°C,27.00°C,51.00°C,24.00°C,26.00°C,32.00°C,952RPM,664RPM,688RPM,1.43V,4%,32.00°C,0RPM,22.30°C,420RPM,422RPM,930RPM
11/2/2020 08:18:08 AM,25.00°C,28.00°C,43.00°C,24.00°C,26.00°C,33.00°C,951RPM,665RPM,687RPM,1.40V,12%,33.00°C,0RPM,22.40°C,425RPM,420RPM,960RPM
11/2/2020 08:18:13 AM,25.00°C,28.00°C,44.00°C,24.00°C,26.00°C,33.00°C,948RPM,666RPM,689RPM,1.46V,2%,33.00°C,0RPM,22.50°C,424RPM,425RPM,960RPM
11/2/2020 08:18:18 AM,25.00°C,28.00°C,49.00°C,25.00°C,26.00°C,33.00°C,945RPM,665RPM,694RPM,1.43V,3%,33.00°C,0RPM,22.50°C,424RPM,420RPM,960RPM
11/2/2020 08:18:23 AM,25.00°C,29.00°C,39.00°C,25.00°C,26.00°C,33.00°C,948RPM,668RPM,691RPM,1.42V,1%,34.00°C,0RPM,22.50°C,423RPM,426RPM,930RPM
11/2/2020 08:18:28 AM,25.00°C,29.00°C,41.00°C,25.00°C,26.00°C,34.00°C,945RPM,667RPM,693RPM,1.45V,3%,34.00°C,0RPM,22.50°C,422RPM,420RPM,960RPM
11/2/2020 08:18:33 AM,25.00°C,29.00°C,37.00°C,25.00°C,26.00°C,34.00°C,951RPM,668RPM,692RPM,1.46V,2%,34.00°C,0RPM,22.50°C,421RPM,420RPM,960RPM
11/2/2020 08:18:38 AM,25.00°C,29.00°C,33.00°C,25.00°C,27.00°C,34.00°C,951RPM,668RPM,693RPM,1.44V,1%,35.00°C,0RPM,22.60°C,420RPM,420RPM,930RPM
11/2/2020 08:18:43 AM,25.00°C,29.00°C,41.00°C,25.00°C,27.00°C,34.00°C,949RPM,667RPM,689RPM,1.45V,1%,35.00°C,0RPM,22.60°C,420RPM,420RPM,960RPM
11/2/2020 08:18:48 AM,25.00°C,30.00°C,36.00°C,25.00°C,27.00°C,34.00°C,951RPM,667RPM,691RPM,1.46V,3%,35.00°C,0RPM,22.60°C,425RPM,420RPM,960RPM
11/2/2020 08:18:53 AM,25.00°C,30.00°C,49.00°C,25.00°C,27.00°C,35.00°C,951RPM,666RPM,696RPM,1.43V,5%,36.00°C,0RPM,22.60°C,421RPM,420RPM,930RPM
11/2/2020 08:18:58 AM,25.00°C,30.00°C,40.00°C,25.00°C,27.00°C,35.00°C,944RPM,695RPM,722RPM,1.45V,2%,36.00°C,0RPM,22.70°C,426RPM,420RPM,960RPM
11/2/2020 08:19:03 AM,26.00°C,30.00°C,46.00°C,25.00°C,27.00°C,35.00°C,947RPM,697RPM,721RPM,1.44V,2%,36.00°C,0RPM,22.80°C,420RPM,420RPM,960RPM
11/2/2020 08:19:08 AM,26.00°C,30.00°C,47.00°C,26.00°C,27.00°C,35.00°C,935RPM,697RPM,727RPM,1.45V,10%,37.00°C,0RPM,22.80°C,420RPM,420RPM,960RPM
11/2/2020 08:19:13 AM,26.00°C,30.00°C,52.00°C,26.00°C,28.00°C,35.00°C,939RPM,698RPM,721RPM,1.44V,8%,37.00°C,0RPM,22.90°C,414RPM,426RPM,930RPM
11/2/2020 08:19:18 AM,26.00°C,30.00°C,52.00°C,26.00°C,28.00°C,35.00°C,935RPM,697RPM,721RPM,1.42V,8%,37.00°C,0RPM,23.00°C,414RPM,420RPM,930RPM
11/2/2020 08:19:23 AM,26.00°C,30.00°C,56.00°C,26.00°C,28.00°C,36.00°C,939RPM,699RPM,726RPM,1.42V,17%,38.00°C,0RPM,23.20°C,414RPM,424RPM,930RPM
11/2/2020 08:19:28 AM,26.00°C,31.00°C,57.00°C,27.00°C,29.00°C,36.00°C,939RPM,699RPM,721RPM,1.39V,23%,38.00°C,0RPM,23.30°C,410RPM,420RPM,930RPM
11/2/2020 08:19:33 AM,26.00°C,31.00°C,53.00°C,27.00°C,29.00°C,36.00°C,939RPM,698RPM,728RPM,1.43V,3%,39.00°C,0RPM,23.60°C,411RPM,423RPM,930RPM
11/2/2020 08:19:38 AM,26.00°C,31.00°C,44.00°C,27.00°C,29.00°C,36.00°C,934RPM,700RPM,727RPM,1.44V,3%,39.00°C,0RPM,23.70°C,411RPM,420RPM,930RPM
11/2/2020 08:19:43 AM,26.00°C,31.00°C,45.00°C,27.00°C,29.00°C,36.00°C,936RPM,699RPM,729RPM,1.46V,3%,40.00°C,0RPM,23.80°C,406RPM,421RPM,930RPM
11/2/2020 08:19:48 AM,26.00°C,31.00°C,41.00°C,27.00°C,29.00°C,36.00°C,940RPM,699RPM,724RPM,1.43V,2%,40.00°C,0RPM,23.70°C,411RPM,420RPM,960RPM
11/2/2020 08:19:53 AM,27.00°C,31.00°C,41.00°C,27.00°C,29.00°C,36.00°C,936RPM,715RPM,743RPM,1.44V,1%,41.00°C,0RPM,23.80°C,411RPM,420RPM,960RPM
11/2/2020 08:19:58 AM,27.00°C,32.00°C,46.00°C,27.00°C,29.00°C,37.00°C,935RPM,714RPM,738RPM,1.44V,14%,41.00°C,0RPM,23.70°C,407RPM,420RPM,960RPM
11/2/2020 08:20:03 AM,27.00°C,32.00°C,43.00°C,27.00°C,29.00°C,37.00°C,941RPM,717RPM,743RPM,1.45V,2%,41.00°C,0RPM,23.70°C,411RPM,420RPM,930RPM
11/2/2020 08:20:08 AM,27.00°C,32.00°C,43.00°C,27.00°C,29.00°C,37.00°C,941RPM,716RPM,738RPM,1.45V,1%,42.00°C,0RPM,23.80°C,411RPM,426RPM,960RPM
11/2/2020 08:20:13 AM,27.00°C,32.00°C,44.00°C,28.00°C,29.00°C,37.00°C,941RPM,714RPM,743RPM,1.44V,2%,42.00°C,0RPM,23.80°C,406RPM,420RPM,930RPM
11/2/2020 08:20:18 AM,27.00°C,32.00°C,40.00°C,28.00°C,29.00°C,37.00°C,941RPM,714RPM,744RPM,1.43V,3%,42.00°C,0RPM,23.90°C,411RPM,424RPM,960RPM
11/2/2020 08:20:23 AM,27.00°C,32.00°C,42.00°C,28.00°C,29.00°C,37.00°C,939RPM,714RPM,738RPM,1.43V,2%,43.00°C,0RPM,23.90°C,411RPM,420RPM,960RPM
