Timestamp,"MB Temp #1","MB Temp #2","MB Temp #3","MB Temp #4","MB Temp #5","MB Temp #6","MB Fan #1","MB Fan #2","MB Fan #3","MB VCPU","CPU Load","GPU Temp","GPU Fan","H115i PRO Temp","H115i PRO Fan #1","H115i PRO Fan #2","H115i PRO Pump"
21/1/2020 07:47:22 AM,31.00°C,33.00°C,54.00°C,36.00°C,38.00°C,39.00°C,939RPM,837RPM,858RPM,1.43V,3%,43.00°C,0RPM,33.70°C,600RPM,540RPM,930RPM
21/1/2020 07:47:27 AM,32.00°C,33.00°C,46.00°C,36.00°C,38.00°C,40.00°C,936RPM,860RPM,895RPM,1.49V,1%,43.00°C,0RPM,33.70°C,540RPM,667RPM,930RPM
21/1/2020 07:47:32 AM,32.00°C,34.00°C,64.00°C,36.00°C,38.00°C,40.00°C,940RPM,862RPM,894RPM,1.37V,10%,43.00°C,0RPM,33.60°C,610RPM,590RPM,930RPM
21/1/2020 07:47:37 AM,32.00°C,34.00°C,55.00°C,36.00°C,38.00°C,41.00°C,931RPM,862RPM,896RPM,1.45V,0%,44.00°C,0RPM,33.60°C,567RPM,564RPM,930RPM
21/1/2020 07:47:42 AM,32.00°C,34.00°C,50.00°C,36.00°C,38.00°C,41.00°C,934RPM,868RPM,895RPM,1.45V,4%,44.00°C,0RPM,33.50°C,555RPM,549RPM,930RPM
21/1/2020 07:47:47 AM,33.00°C,34.00°C,55.00°C,36.00°C,39.00°C,41.00°C,943RPM,873RPM,896RPM,1.39V,3%,45.00°C,0RPM,33.50°C,552RPM,550RPM,930RPM
21/1/2020 07:47:52 AM,33.00°C,34.00°C,46.00°C,36.00°C,39.00°C,42.00°C,945RPM,888RPM,921RPM,0.98V,1%,45.00°C,0RPM,33.40°C,546RPM,546RPM,960RPM
21/1/2020 07:47:57 AM,33.00°C,34.00°C,53.00°C,36.00°C,38.00°C,42.00°C,948RPM,893RPM,917RPM,1.45V,3%,46.00°C,0RPM,33.30°C,546RPM,542RPM,930RPM
21/1/2020 07:48:02 AM,33.00°C,35.00°C,45.00°C,36.00°C,39.00°C,42.00°C,943RPM,892RPM,920RPM,1.44V,26%,46.00°C,0RPM,33.20°C,540RPM,540RPM,960RPM
21/1/2020 07:48:07 AM,33.00°C,35.00°C,64.00°C,36.00°C,40.00°C,42.00°C,945RPM,889RPM,922RPM,1.39V,20%,46.00°C,0RPM,33.10°C,540RPM,540RPM,960RPM
21/1/2020 07:48:12 AM,33.00°C,35.00°C,71.00°C,36.00°C,40.00°C,43.00°C,949RPM,893RPM,923RPM,1.38V,34%,47.00°C,0RPM,33.10°C,540RPM,534RPM,960RPM
21/1/2020 07:48:17 AM,33.00°C,35.00°C,63.00°C,36.00°C,40.00°C,43.00°C,945RPM,895RPM,920RPM,1.39V,14%,47.00°C,0RPM,33.20°C,540RPM,534RPM,930RPM
21/1/2020 07:48:22 AM,33.00°C,35.00°C,65.00°C,36.00°C,41.00°C,43.00°C,948RPM,895RPM,925RPM,1.32V,22%,48.00°C,0RPM,33.20°C,540RPM,534RPM,960RPM
21/1/2020 07:48:27 AM,33.00°C,36.00°C,65.00°C,36.00°C,41.00°C,44.00°C,945RPM,889RPM,921RPM,1.38V,16%,48.00°C,0RPM,33.30°C,540RPM,534RPM,960RPM
21/1/2020 07:48:32 AM,33.00°C,36.00°C,58.00°C,37.00°C,40.00°C,44.00°C,951RPM,915RPM,939RPM,1.45V,0%,49.00°C,0RPM,33.40°C,540RPM,534RPM,930RPM
21/1/2020 07:48:37 AM,34.00°C,36.00°C,48.00°C,37.00°C,39.00°C,44.00°C,952RPM,922RPM,951RPM,0.91V,0%,49.00°C,0RPM,33.20°C,544RPM,540RPM,960RPM
21/1/2020 07:48:42 AM,34.00°C,36.00°C,45.00°C,37.00°C,40.00°C,44.00°C,953RPM,925RPM,953RPM,0.89V,1%,49.00°C,0RPM,33.20°C,540RPM,540RPM,930RPM
21/1/2020 07:48:47 AM,34.00°C,36.00°C,60.00°C,37.00°C,40.00°C,44.00°C,953RPM,918RPM,947RPM,1.39V,6%,50.00°C,0RPM,33.10°C,540RPM,540RPM,930RPM
21/1/2020 07:48:52 AM,34.00°C,37.00°C,50.00°C,37.00°C,39.00°C,44.00°C,963RPM,925RPM,947RPM,0.90V,2%,50.00°C,0RPM,33.00°C,540RPM,540RPM,960RPM
21/1/2020 07:48:57 AM,34.00°C,37.00°C,58.00°C,37.00°C,39.00°C,44.00°C,960RPM,920RPM,955RPM,1.39V,11%,51.00°C,0RPM,32.80°C,540RPM,534RPM,960RPM
21/1/2020 07:49:02 AM,34.00°C,37.00°C,64.00°C,37.00°C,40.00°C,45.00°C,960RPM,921RPM,953RPM,1.38V,24%,51.00°C,0RPM,32.70°C,540RPM,534RPM,960RPM
21/1/2020 07:49:07 AM,34.00°C,37.00°C,60.00°C,37.00°C,41.00°C,45.00°C,970RPM,923RPM,951RPM,0.91V,7%,51.00°C,0RPM,32.80°C,540RPM,534RPM,960RPM
21/1/2020 07:49:12 AM,34.00°C,37.00°C,56.00°C,37.00°C,40.00°C,45.00°C,970RPM,922RPM,947RPM,1.43V,3%,51.00°C,0RPM,32.90°C,540RPM,530RPM,960RPM
21/1/2020 07:49:17 AM,34.00°C,37.00°C,47.00°C,37.00°C,40.00°C,45.00°C,970RPM,926RPM,948RPM,0.89V,2%,52.00°C,0RPM,32.80°C,540RPM,531RPM,960RPM
21/1/2020 07:49:22 AM,34.00°C,37.00°C,50.00°C,38.00°C,39.00°C,45.00°C,970RPM,925RPM,952RPM,0.91V,1%,52.00°C,0RPM,32.70°C,540RPM,531RPM,960RPM
21/1/2020 07:49:27 AM,34.00°C,37.00°C,46.00°C,37.00°C,39.00°C,45.00°C,973RPM,922RPM,955RPM,0.89V,1%,53.00°C,0RPM,32.60°C,540RPM,525RPM,960RPM
21/1/2020 07:49:32 AM,34.00°C,38.00°C,59.00°C,38.00°C,40.00°C,45.00°C,973RPM,925RPM,953RPM,1.43V,3%,52.00°C,781RPM,32.60°C,528RPM,528RPM,960RPM
21/1/2020 07:49:37 AM,34.00°C,38.00°C,61.00°C,38.00°C,40.00°C,45.00°C,973RPM,918RPM,951RPM,1.43V,8%,52.00°C,821RPM,32.60°C,525RPM,517RPM,990RPM
21/1/2020 07:49:42 AM,34.00°C,38.00°C,61.00°C,38.00°C,40.00°C,46.00°C,971RPM,918RPM,944RPM,1.42V,6%,52.00°C,863RPM,32.70°C,525RPM,526RPM,990RPM
21/1/2020 07:49:47 AM,34.00°C,38.00°C,65.00°C,38.00°C,40.00°C,46.00°C,975RPM,923RPM,948RPM,1.39V,19%,51.00°C,865RPM,32.80°C,531RPM,530RPM,960RPM
21/1/2020 07:49:52 AM,35.00°C,39.00°C,62.00°C,38.00°C,41.00°C,46.00°C,973RPM,931RPM,963RPM,1.37V,18%,51.00°C,840RPM,32.90°C,531RPM,531RPM,990RPM
21/1/2020 07:49:57 AM,35.00°C,39.00°C,59.00°C,38.00°C,41.00°C,46.00°C,971RPM,930RPM,962RPM,0.92V,1%,51.00°C,789RPM,33.00°C,531RPM,527RPM,960RPM
21/1/2020 07:50:02 AM,35.00°C,39.00°C,49.00°C,39.00°C,40.00°C,46.00°C,971RPM,932RPM,963RPM,1.43V,1%,50.00°C,787RPM,33.00°C,531RPM,531RPM,990RPM
21/1/2020 07:50:07 AM,35.00°C,39.00°C,41.00°C,38.00°C,40.00°C,46.00°C,973RPM,938RPM,964RPM,0.91V,1%,50.00°C,786RPM,33.00°C,531RPM,531RPM,960RPM
21/1/2020 07:50:12 AM,35.00°C,39.00°C,47.00°C,39.00°C,40.00°C,47.00°C,973RPM,931RPM,967RPM,0.91V,1%,50.00°C,786RPM,32.90°C,531RPM,528RPM,960RPM
21/1/2020 07:50:17 AM,35.00°C,39.00°C,47.00°C,39.00°C,40.00°C,46.00°C,977RPM,934RPM,963RPM,1.46V,2%,50.00°C,786RPM,32.90°C,531RPM,531RPM,960RPM
21/1/2020 07:50:22 AM,35.00°C,39.00°C,39.00°C,39.00°C,40.00°C,46.00°C,973RPM,931RPM,970RPM,0.89V,1%,50.00°C,787RPM,32.70°C,531RPM,531RPM,960RPM
21/1/2020 07:50:27 AM,35.00°C,40.00°C,45.00°C,39.00°C,40.00°C,46.00°C,977RPM,935RPM,963RPM,0.91V,1%,49.00°C,787RPM,32.80°C,531RPM,529RPM,960RPM
21/1/2020 07:50:32 AM,35.00°C,40.00°C,46.00°C,39.00°C,40.00°C,47.00°C,980RPM,934RPM,967RPM,0.90V,1%,49.00°C,786RPM,32.70°C,531RPM,531RPM,990RPM
21/1/2020 07:50:37 AM,36.00°C,40.00°C,37.00°C,39.00°C,40.00°C,47.00°C,973RPM,964RPM,996RPM,0.92V,1%,49.00°C,785RPM,32.70°C,531RPM,531RPM,990RPM
21/1/2020 07:50:42 AM,36.00°C,40.00°C,54.00°C,39.00°C,40.00°C,47.00°C,971RPM,962RPM,987RPM,1.43V,1%,49.00°C,787RPM,32.60°C,529RPM,527RPM,960RPM
21/1/2020 07:50:47 AM,36.00°C,40.00°C,67.00°C,39.00°C,41.00°C,47.00°C,975RPM,963RPM,997RPM,1.40V,1%,49.00°C,784RPM,32.70°C,528RPM,528RPM,990RPM
21/1/2020 07:50:52 AM,36.00°C,40.00°C,59.00°C,39.00°C,41.00°C,47.00°C,973RPM,967RPM,987RPM,0.91V,1%,48.00°C,787RPM,32.70°C,531RPM,531RPM,960RPM
21/1/2020 07:50:57 AM,36.00°C,40.00°C,69.00°C,39.00°C,41.00°C,47.00°C,975RPM,964RPM,987RPM,1.40V,4%,48.00°C,786RPM,32.90°C,531RPM,531RPM,990RPM
21/1/2020 07:51:02 AM,36.00°C,40.00°C,59.00°C,39.00°C,41.00°C,47.00°C,975RPM,964RPM,996RPM,0.91V,1%,48.00°C,786RPM,33.00°C,531RPM,528RPM,990RPM
21/1/2020 07:51:07 AM,36.00°C,41.00°C,50.00°C,39.00°C,40.00°C,47.00°C,978RPM,966RPM,994RPM,0.90V,1%,48.00°C,786RPM,33.00°C,531RPM,531RPM,960RPM
21/1/2020 07:51:12 AM,36.00°C,41.00°C,45.00°C,39.00°C,40.00°C,47.00°C,978RPM,962RPM,993RPM,0.91V,5%,48.00°C,786RPM,32.90°C,531RPM,531RPM,990RPM
