Timestamp,"MB Temp #1","MB Temp #2","MB Temp #3","MB Temp #4","MB Temp #5","MB Temp #6","MB Fan #1","MB Fan #2","MB Fan #3","MB VCPU","CPU Load","GPU Temp","GPU Fan","H115i PRO Temp","H115i PRO Fan #1","H115i PRO Fan #2","H115i PRO Pump"
8/2/2020 19:50:09 PM,27.00°C,28.00°C,54.00°C,29.00°C,32.00°C,33.00°C,935RPM,752RPM,752RPM,1.40V,13%,31.00°C,0RPM,31.10°C,480RPM,480RPM,930RPM
8/2/2020 19:50:14 PM,27.00°C,28.00°C,50.00°C,29.00°C,32.00°C,34.00°C,932RPM,748RPM,758RPM,1.44V,20%,32.00°C,0RPM,31.10°C,480RPM,480RPM,960RPM
8/2/2020 19:50:19 PM,27.00°C,29.00°C,55.00°C,29.00°C,32.00°C,35.00°C,936RPM,749RPM,760RPM,1.46V,6%,32.00°C,0RPM,31.10°C,480RPM,480RPM,960RPM
8/2/2020 19:50:24 PM,27.00°C,29.00°C,47.00°C,29.00°C,32.00°C,36.00°C,932RPM,753RPM,756RPM,1.42V,3%,33.00°C,0RPM,31.10°C,480RPM,612RPM,960RPM
8/2/2020 19:50:29 PM,28.00°C,30.00°C,52.00°C,29.00°C,32.00°C,36.00°C,936RPM,772RPM,778RPM,1.46V,0%,33.00°C,0RPM,31.00°C,480RPM,532RPM,960RPM
8/2/2020 19:50:34 PM,28.00°C,30.00°C,43.00°C,29.00°C,32.00°C,37.00°C,936RPM,779RPM,790RPM,1.44V,0%,34.00°C,0RPM,30.90°C,512RPM,503RPM,960RPM
8/2/2020 19:50:39 PM,28.00°C,30.00°C,45.00°C,29.00°C,32.00°C,37.00°C,940RPM,780RPM,786RPM,1.45V,1%,34.00°C,0RPM,30.70°C,499RPM,492RPM,960RPM
8/2/2020 19:50:44 PM,28.00°C,30.00°C,41.00°C,29.00°C,32.00°C,37.00°C,936RPM,782RPM,786RPM,1.43V,0%,35.00°C,0RPM,30.60°C,491RPM,493RPM,960RPM
8/2/2020 19:50:49 PM,29.00°C,31.00°C,45.00°C,30.00°C,32.00°C,38.00°C,952RPM,809RPM,817RPM,1.45V,0%,35.00°C,0RPM,30.60°C,484RPM,486RPM,960RPM
8/2/2020 19:50:54 PM,29.00°C,31.00°C,48.00°C,30.00°C,33.00°C,38.00°C,952RPM,814RPM,816RPM,1.01V,7%,35.00°C,0RPM,30.50°C,480RPM,480RPM,960RPM
