Timestamp,"MB Temp #1","MB Temp #2","MB Temp #3","MB Temp #4","MB Temp #5","MB Temp #6","MB Fan #1","MB Fan #2","MB Fan #3","MB VCPU","CPU Load","GPU Temp","GPU Fan","H115i PRO Temp","H115i PRO Fan #1","H115i PRO Fan #2","H115i PRO Pump"
22/1/2020 12:13:55 PM,37.00°C,42.00°C,48.00°C,40.00°C,44.00°C,49.00°C,960RPM,1029RPM,1068RPM,1.00V,28%,46.00°C,0RPM,33.20°C,540RPM,540RPM,960RPM
22/1/2020 12:14:00 PM,30.00°C,31.00°C,53.00°C,35.00°C,38.00°C,38.00°C,936RPM,819RPM,847RPM,1.40V,5%,40.00°C,0RPM,33.30°C,540RPM,540RPM,960RPM
22/1/2020 12:14:05 PM,31.00°C,32.00°C,55.00°C,35.00°C,38.00°C,39.00°C,941RPM,829RPM,862RPM,1.46V,5%,41.00°C,0RPM,33.20°C,540RPM,540RPM,960RPM
22/1/2020 12:14:10 PM,31.00°C,32.00°C,63.00°C,35.00°C,38.00°C,39.00°C,947RPM,832RPM,863RPM,1.38V,7%,41.00°C,0RPM,33.20°C,600RPM,540RPM,960RPM
22/1/2020 12:14:15 PM,31.00°C,33.00°C,55.00°C,35.00°C,39.00°C,40.00°C,944RPM,833RPM,863RPM,1.46V,5%,42.00°C,0RPM,33.20°C,540RPM,540RPM,960RPM
22/1/2020 12:14:20 PM,31.00°C,33.00°C,60.00°C,35.00°C,39.00°C,41.00°C,944RPM,832RPM,868RPM,1.38V,8%,42.00°C,0RPM,33.10°C,578RPM,565RPM,960RPM
22/1/2020 12:14:25 PM,31.00°C,33.00°C,55.00°C,35.00°C,39.00°C,41.00°C,951RPM,832RPM,864RPM,1.45V,5%,43.00°C,0RPM,33.10°C,550RPM,546RPM,960RPM
22/1/2020 12:14:30 PM,32.00°C,33.00°C,55.00°C,35.00°C,39.00°C,41.00°C,948RPM,861RPM,893RPM,1.43V,4%,43.00°C,0RPM,33.00°C,542RPM,540RPM,960RPM
22/1/2020 12:14:35 PM,32.00°C,34.00°C,56.00°C,35.00°C,39.00°C,42.00°C,944RPM,862RPM,894RPM,1.44V,4%,43.00°C,0RPM,32.80°C,541RPM,540RPM,960RPM
22/1/2020 12:14:40 PM,32.00°C,34.00°C,52.00°C,35.00°C,39.00°C,42.00°C,949RPM,864RPM,893RPM,1.45V,2%,44.00°C,0RPM,32.60°C,540RPM,534RPM,960RPM
22/1/2020 12:14:45 PM,32.00°C,34.00°C,48.00°C,35.00°C,39.00°C,42.00°C,953RPM,861RPM,894RPM,1.44V,3%,44.00°C,0RPM,32.60°C,533RPM,525RPM,960RPM
22/1/2020 12:14:50 PM,32.00°C,34.00°C,48.00°C,35.00°C,39.00°C,42.00°C,953RPM,863RPM,891RPM,1.42V,3%,45.00°C,0RPM,32.50°C,527RPM,519RPM,960RPM
22/1/2020 12:14:55 PM,32.00°C,34.00°C,55.00°C,35.00°C,39.00°C,42.00°C,952RPM,861RPM,896RPM,1.43V,2%,45.00°C,0RPM,32.30°C,525RPM,518RPM,960RPM
22/1/2020 12:15:00 PM,32.00°C,34.00°C,49.00°C,35.00°C,39.00°C,43.00°C,949RPM,862RPM,893RPM,1.45V,3%,46.00°C,0RPM,32.30°C,519RPM,519RPM,990RPM
22/1/2020 12:15:05 PM,32.00°C,34.00°C,52.00°C,35.00°C,39.00°C,43.00°C,949RPM,861RPM,895RPM,1.45V,3%,46.00°C,0RPM,32.20°C,522RPM,520RPM,960RPM
22/1/2020 12:15:10 PM,33.00°C,35.00°C,50.00°C,35.00°C,39.00°C,43.00°C,953RPM,887RPM,920RPM,1.43V,2%,47.00°C,0RPM,32.10°C,518RPM,520RPM,960RPM
