Timestamp,"MB Temp #1","MB Temp #2","MB Temp #3","MB Temp #4","MB Temp #5","MB Temp #6","MB Fan #1","MB Fan #2","MB Fan #3","MB VCPU","CPU Load","GPU Temp","GPU Fan","H115i PRO Temp","H115i PRO Fan #1","H115i PRO Fan #2","H115i PRO Pump"
26/2/2020 07:59:06 AM,22.00°C,24.00°C,47.00°C,21.00°C,24.00°C,28.00°C,925RPM,646RPM,662RPM,1.46V,1%,25.00°C,0RPM,21.60°C,443RPM,434RPM,930RPM
26/2/2020 07:59:11 AM,22.00°C,24.00°C,40.00°C,22.00°C,24.00°C,28.00°C,926RPM,648RPM,662RPM,1.46V,2%,25.00°C,0RPM,21.70°C,428RPM,422RPM,930RPM
26/2/2020 07:59:16 AM,22.00°C,25.00°C,41.00°C,22.00°C,24.00°C,29.00°C,921RPM,647RPM,663RPM,1.43V,3%,26.00°C,0RPM,21.80°C,423RPM,420RPM,960RPM
26/2/2020 07:59:21 AM,22.00°C,25.00°C,37.00°C,22.00°C,24.00°C,29.00°C,925RPM,647RPM,663RPM,1.49V,2%,26.00°C,0RPM,21.90°C,420RPM,423RPM,930RPM
26/2/2020 07:59:26 AM,23.00°C,25.00°C,47.00°C,22.00°C,24.00°C,30.00°C,927RPM,649RPM,664RPM,1.46V,3%,27.00°C,0RPM,21.80°C,420RPM,420RPM,930RPM
26/2/2020 07:59:31 AM,23.00°C,25.00°C,38.00°C,22.00°C,25.00°C,30.00°C,921RPM,652RPM,664RPM,1.44V,5%,27.00°C,0RPM,21.80°C,420RPM,420RPM,960RPM
26/2/2020 07:59:36 AM,23.00°C,25.00°C,34.00°C,22.00°C,24.00°C,30.00°C,928RPM,657RPM,664RPM,0.96V,2%,27.00°C,0RPM,21.80°C,420RPM,420RPM,960RPM
26/2/2020 07:59:41 AM,23.00°C,25.00°C,38.00°C,22.00°C,25.00°C,31.00°C,925RPM,654RPM,664RPM,1.44V,4%,28.00°C,0RPM,21.80°C,420RPM,420RPM,960RPM
26/2/2020 07:59:46 AM,23.00°C,26.00°C,40.00°C,22.00°C,24.00°C,31.00°C,927RPM,657RPM,666RPM,1.45V,4%,28.00°C,0RPM,21.80°C,420RPM,424RPM,960RPM
26/2/2020 07:59:51 AM,24.00°C,26.00°C,35.00°C,22.00°C,25.00°C,31.00°C,927RPM,660RPM,664RPM,1.48V,1%,29.00°C,0RPM,21.80°C,426RPM,420RPM,930RPM
26/2/2020 07:59:56 AM,24.00°C,26.00°C,38.00°C,23.00°C,25.00°C,32.00°C,925RPM,659RPM,666RPM,1.46V,1%,29.00°C,0RPM,21.80°C,424RPM,420RPM,930RPM
26/2/2020 08:00:01 AM,24.00°C,26.00°C,35.00°C,23.00°C,25.00°C,32.00°C,922RPM,658RPM,664RPM,0.96V,2%,30.00°C,0RPM,21.80°C,422RPM,420RPM,930RPM
26/2/2020 08:00:06 AM,24.00°C,27.00°C,38.00°C,23.00°C,25.00°C,32.00°C,926RPM,662RPM,666RPM,1.44V,2%,30.00°C,0RPM,21.80°C,420RPM,420RPM,960RPM
26/2/2020 08:00:11 AM,24.00°C,27.00°C,41.00°C,23.00°C,25.00°C,32.00°C,927RPM,661RPM,667RPM,0.95V,1%,31.00°C,0RPM,21.80°C,425RPM,420RPM,960RPM
26/2/2020 08:00:16 AM,24.00°C,27.00°C,37.00°C,23.00°C,25.00°C,32.00°C,927RPM,661RPM,668RPM,0.98V,2%,31.00°C,0RPM,21.80°C,424RPM,420RPM,960RPM
26/2/2020 08:00:21 AM,25.00°C,27.00°C,39.00°C,23.00°C,25.00°C,32.00°C,927RPM,676RPM,683RPM,1.40V,2%,32.00°C,0RPM,21.90°C,425RPM,420RPM,930RPM
