Timestamp,"MB Temp #1","MB Temp #2","MB Temp #3","MB Temp #4","MB Temp #5","MB Temp #6","MB Fan #1","MB Fan #2","MB Fan #3","MB VCPU","CPU Load","GPU Temp","GPU Fan","H115i PRO Temp","H115i PRO Fan #1","H115i PRO Fan #2","H115i PRO Pump"
3/1/2020 20:24:01 PM,35.00°C,40.00°C,56.00°C,39.00°C,41.00°C,46.00°C,957RPM,973RPM,975RPM,1.42V,5%,50.00°C,760RPM,31.80°C,504RPM,504RPM,960RPM
3/1/2020 20:24:06 PM,35.00°C,40.00°C,56.00°C,39.00°C,41.00°C,46.00°C,956RPM,977RPM,973RPM,1.42V,5%,50.00°C,760RPM,32.00°C,504RPM,504RPM,960RPM
3/1/2020 20:24:11 PM,36.00°C,40.00°C,49.00°C,39.00°C,41.00°C,46.00°C,963RPM,1000RPM,1003RPM,1.40V,2%,50.00°C,761RPM,32.10°C,514RPM,510RPM,960RPM
3/1/2020 20:24:16 PM,36.00°C,41.00°C,57.00°C,39.00°C,41.00°C,46.00°C,960RPM,999RPM,1004RPM,1.42V,6%,50.00°C,759RPM,32.20°C,517RPM,513RPM,960RPM
3/1/2020 20:24:21 PM,36.00°C,41.00°C,61.00°C,39.00°C,41.00°C,46.00°C,957RPM,1003RPM,1003RPM,1.40V,8%,49.00°C,760RPM,32.30°C,519RPM,517RPM,960RPM
3/1/2020 20:24:26 PM,36.00°C,41.00°C,52.00°C,40.00°C,41.00°C,46.00°C,957RPM,1001RPM,1004RPM,1.43V,6%,49.00°C,760RPM,32.40°C,517RPM,513RPM,960RPM
3/1/2020 20:24:31 PM,36.00°C,41.00°C,50.00°C,40.00°C,41.00°C,47.00°C,957RPM,1001RPM,1001RPM,1.43V,6%,49.00°C,759RPM,32.50°C,518RPM,515RPM,960RPM
3/1/2020 20:24:36 PM,36.00°C,41.00°C,49.00°C,40.00°C,41.00°C,47.00°C,953RPM,999RPM,1006RPM,1.39V,4%,49.00°C,760RPM,32.50°C,518RPM,516RPM,960RPM
3/1/2020 20:24:41 PM,36.00°C,41.00°C,51.00°C,40.00°C,42.00°C,47.00°C,957RPM,999RPM,1006RPM,1.44V,3%,49.00°C,760RPM,32.60°C,519RPM,518RPM,960RPM
3/1/2020 20:24:46 PM,36.00°C,41.00°C,51.00°C,40.00°C,41.00°C,47.00°C,956RPM,1003RPM,1004RPM,1.45V,5%,49.00°C,760RPM,32.60°C,520RPM,518RPM,960RPM
3/1/2020 20:24:51 PM,36.00°C,41.00°C,56.00°C,40.00°C,42.00°C,47.00°C,953RPM,1003RPM,1004RPM,1.38V,5%,49.00°C,761RPM,32.60°C,520RPM,518RPM,960RPM
3/1/2020 20:24:56 PM,36.00°C,41.00°C,58.00°C,40.00°C,42.00°C,47.00°C,959RPM,1003RPM,1004RPM,1.39V,6%,48.00°C,760RPM,32.70°C,520RPM,523RPM,960RPM
3/1/2020 20:25:01 PM,36.00°C,41.00°C,54.00°C,40.00°C,42.00°C,47.00°C,960RPM,1003RPM,1004RPM,1.42V,21%,49.00°C,760RPM,32.70°C,531RPM,528RPM,960RPM
3/1/2020 20:25:06 PM,36.00°C,41.00°C,57.00°C,40.00°C,42.00°C,47.00°C,960RPM,1000RPM,1006RPM,1.38V,6%,49.00°C,760RPM,32.80°C,525RPM,531RPM,960RPM
3/1/2020 20:25:11 PM,37.00°C,41.00°C,51.00°C,40.00°C,42.00°C,47.00°C,957RPM,1029RPM,1034RPM,1.43V,5%,48.00°C,760RPM,32.90°C,531RPM,531RPM,960RPM
3/1/2020 20:25:16 PM,37.00°C,42.00°C,59.00°C,40.00°C,42.00°C,47.00°C,957RPM,1032RPM,1032RPM,1.36V,18%,48.00°C,761RPM,32.90°C,531RPM,531RPM,960RPM
