Timestamp,"MB Temp #1","MB Temp #2","MB Temp #3","MB Temp #4","MB Temp #5","MB Temp #6","MB Fan #1","MB Fan #2","MB Fan #3","MB VCPU","CPU Load","GPU Temp","GPU Fan","H115i PRO Temp","H115i PRO Fan #1","H115i PRO Fan #2","H115i PRO Pump"
24/1/2020 15:40:56 PM,22.00°C,23.00°C,39.00°C,22.00°C,24.00°C,26.00°C,930RPM,655RPM,667RPM,1.42V,1%,23.00°C,0RPM,21.50°C,420RPM,420RPM,930RPM
24/1/2020 15:41:01 PM,22.00°C,23.00°C,45.00°C,22.00°C,24.00°C,27.00°C,936RPM,657RPM,667RPM,1.40V,22%,23.00°C,0RPM,21.80°C,420RPM,420RPM,960RPM
24/1/2020 15:41:06 PM,22.00°C,24.00°C,50.00°C,22.00°C,24.00°C,28.00°C,935RPM,657RPM,670RPM,1.45V,12%,24.00°C,0RPM,22.00°C,420RPM,420RPM,930RPM
24/1/2020 15:41:11 PM,22.00°C,24.00°C,42.00°C,22.00°C,24.00°C,28.00°C,939RPM,657RPM,669RPM,1.20V,2%,24.00°C,0RPM,22.30°C,420RPM,471RPM,960RPM
24/1/2020 15:41:16 PM,22.00°C,24.00°C,38.00°C,22.00°C,25.00°C,29.00°C,935RPM,659RPM,668RPM,1.00V,1%,25.00°C,0RPM,22.40°C,449RPM,441RPM,930RPM
24/1/2020 15:41:21 PM,23.00°C,25.00°C,32.00°C,22.00°C,24.00°C,29.00°C,936RPM,657RPM,671RPM,1.42V,1%,26.00°C,0RPM,22.40°C,430RPM,425RPM,930RPM
24/1/2020 15:41:26 PM,23.00°C,25.00°C,40.00°C,22.00°C,25.00°C,30.00°C,936RPM,657RPM,670RPM,1.42V,5%,26.00°C,0RPM,22.40°C,429RPM,421RPM,930RPM
24/1/2020 15:41:31 PM,23.00°C,25.00°C,45.00°C,22.00°C,25.00°C,30.00°C,938RPM,659RPM,671RPM,1.42V,2%,26.00°C,0RPM,22.40°C,425RPM,426RPM,960RPM
24/1/2020 15:41:36 PM,24.00°C,25.00°C,46.00°C,22.00°C,25.00°C,30.00°C,934RPM,659RPM,671RPM,1.44V,1%,27.00°C,0RPM,22.40°C,422RPM,420RPM,960RPM
24/1/2020 15:41:41 PM,24.00°C,26.00°C,49.00°C,22.00°C,25.00°C,31.00°C,932RPM,660RPM,671RPM,1.40V,7%,27.00°C,0RPM,22.40°C,420RPM,420RPM,960RPM
24/1/2020 15:41:46 PM,24.00°C,26.00°C,45.00°C,23.00°C,25.00°C,31.00°C,939RPM,660RPM,671RPM,1.42V,9%,28.00°C,0RPM,22.50°C,420RPM,422RPM,930RPM
24/1/2020 15:41:51 PM,24.00°C,26.00°C,46.00°C,23.00°C,25.00°C,32.00°C,935RPM,659RPM,671RPM,1.43V,1%,28.00°C,0RPM,22.60°C,425RPM,426RPM,930RPM
24/1/2020 15:41:56 PM,24.00°C,27.00°C,38.00°C,23.00°C,25.00°C,32.00°C,941RPM,660RPM,671RPM,1.43V,2%,29.00°C,0RPM,22.70°C,424RPM,420RPM,930RPM
24/1/2020 15:42:01 PM,24.00°C,27.00°C,44.00°C,23.00°C,25.00°C,32.00°C,935RPM,659RPM,673RPM,1.43V,2%,29.00°C,0RPM,22.70°C,422RPM,420RPM,960RPM
24/1/2020 15:42:06 PM,25.00°C,27.00°C,36.00°C,23.00°C,26.00°C,32.00°C,935RPM,676RPM,686RPM,1.42V,5%,30.00°C,0RPM,22.70°C,420RPM,423RPM,960RPM
24/1/2020 15:42:11 PM,25.00°C,27.00°C,38.00°C,23.00°C,26.00°C,32.00°C,941RPM,676RPM,688RPM,1.43V,2%,30.00°C,0RPM,22.70°C,420RPM,426RPM,960RPM
24/1/2020 15:42:16 PM,25.00°C,27.00°C,35.00°C,24.00°C,26.00°C,32.00°C,938RPM,676RPM,688RPM,1.42V,2%,31.00°C,0RPM,22.70°C,425RPM,420RPM,930RPM
24/1/2020 15:42:21 PM,25.00°C,27.00°C,36.00°C,24.00°C,26.00°C,32.00°C,939RPM,676RPM,690RPM,1.46V,2%,31.00°C,0RPM,22.70°C,423RPM,420RPM,930RPM
24/1/2020 15:42:26 PM,25.00°C,28.00°C,39.00°C,24.00°C,26.00°C,33.00°C,941RPM,676RPM,688RPM,1.42V,3%,31.00°C,0RPM,22.70°C,421RPM,423RPM,930RPM
24/1/2020 15:42:31 PM,25.00°C,28.00°C,35.00°C,24.00°C,25.00°C,32.00°C,940RPM,678RPM,689RPM,0.90V,3%,32.00°C,0RPM,22.60°C,420RPM,420RPM,930RPM
24/1/2020 15:42:36 PM,25.00°C,28.00°C,45.00°C,24.00°C,26.00°C,33.00°C,941RPM,677RPM,689RPM,0.92V,3%,32.00°C,0RPM,22.60°C,425RPM,420RPM,930RPM
24/1/2020 15:42:41 PM,25.00°C,28.00°C,37.00°C,25.00°C,26.00°C,33.00°C,939RPM,678RPM,691RPM,1.43V,3%,33.00°C,0RPM,22.60°C,423RPM,420RPM,960RPM
24/1/2020 15:42:46 PM,25.00°C,29.00°C,42.00°C,25.00°C,26.00°C,33.00°C,941RPM,680RPM,690RPM,0.98V,2%,33.00°C,0RPM,22.60°C,421RPM,421RPM,930RPM
24/1/2020 15:42:51 PM,25.00°C,29.00°C,34.00°C,25.00°C,26.00°C,34.00°C,945RPM,681RPM,690RPM,0.91V,2%,34.00°C,0RPM,22.60°C,420RPM,424RPM,960RPM
24/1/2020 15:42:56 PM,25.00°C,29.00°C,45.00°C,25.00°C,26.00°C,34.00°C,941RPM,680RPM,691RPM,0.92V,4%,34.00°C,0RPM,22.60°C,425RPM,426RPM,930RPM
24/1/2020 15:43:01 PM,25.00°C,29.00°C,40.00°C,25.00°C,26.00°C,34.00°C,943RPM,680RPM,691RPM,0.89V,2%,34.00°C,0RPM,22.60°C,422RPM,420RPM,930RPM
24/1/2020 15:43:06 PM,25.00°C,30.00°C,42.00°C,25.00°C,26.00°C,34.00°C,939RPM,682RPM,692RPM,1.43V,2%,34.00°C,0RPM,22.70°C,420RPM,420RPM,960RPM
24/1/2020 15:43:11 PM,25.00°C,30.00°C,34.00°C,25.00°C,26.00°C,34.00°C,944RPM,683RPM,693RPM,0.91V,2%,35.00°C,0RPM,22.70°C,426RPM,421RPM,960RPM
24/1/2020 15:43:16 PM,26.00°C,30.00°C,40.00°C,25.00°C,26.00°C,34.00°C,944RPM,692RPM,700RPM,0.89V,4%,35.00°C,0RPM,22.80°C,424RPM,423RPM,960RPM
24/1/2020 15:43:21 PM,26.00°C,30.00°C,41.00°C,25.00°C,27.00°C,35.00°C,940RPM,712RPM,721RPM,1.42V,3%,36.00°C,0RPM,22.80°C,421RPM,426RPM,960RPM
24/1/2020 15:43:26 PM,26.00°C,30.00°C,43.00°C,25.00°C,27.00°C,35.00°C,945RPM,713RPM,723RPM,1.43V,3%,36.00°C,0RPM,22.90°C,420RPM,420RPM,930RPM
