Timestamp,"MB Temp #1","MB Temp #2","MB Temp #3","MB Temp #4","MB Temp #5","MB Temp #6","MB Fan #1","MB Fan #2","MB Fan #3","MB VCPU","CPU Load","GPU Temp","GPU Fan","H115i PRO Temp","H115i PRO Fan #1","H115i PRO Fan #2","H115i PRO Pump"
4/2/2020 09:04:54 AM,21.00°C,22.00°C,39.00°C,21.00°C,22.00°C,25.00°C,922RPM,646RPM,665RPM,1.43V,6%,22.00°C,0RPM,20.10°C,420RPM,420RPM,930RPM
4/2/2020 09:04:59 AM,21.00°C,22.00°C,40.00°C,21.00°C,22.00°C,25.00°C,921RPM,647RPM,666RPM,1.44V,2%,22.00°C,0RPM,20.30°C,420RPM,420RPM,960RPM
4/2/2020 09:05:04 AM,21.00°C,23.00°C,44.00°C,21.00°C,22.00°C,26.00°C,922RPM,650RPM,668RPM,1.43V,12%,23.00°C,0RPM,20.40°C,420RPM,479RPM,930RPM
4/2/2020 09:05:09 AM,21.00°C,23.00°C,52.00°C,21.00°C,23.00°C,27.00°C,925RPM,647RPM,672RPM,1.38V,11%,23.00°C,0RPM,20.50°C,450RPM,432RPM,930RPM
4/2/2020 09:05:14 AM,22.00°C,23.00°C,42.00°C,21.00°C,23.00°C,27.00°C,920RPM,652RPM,668RPM,0.97V,4%,24.00°C,0RPM,20.70°C,428RPM,421RPM,930RPM
4/2/2020 09:05:19 AM,22.00°C,24.00°C,35.00°C,21.00°C,23.00°C,28.00°C,923RPM,652RPM,669RPM,1.43V,5%,24.00°C,0RPM,20.90°C,424RPM,420RPM,930RPM
4/2/2020 09:05:24 AM,22.00°C,24.00°C,34.00°C,21.00°C,23.00°C,28.00°C,922RPM,650RPM,674RPM,1.43V,4%,25.00°C,0RPM,20.90°C,420RPM,420RPM,930RPM
4/2/2020 09:05:29 AM,22.00°C,24.00°C,34.00°C,21.00°C,23.00°C,29.00°C,927RPM,649RPM,669RPM,1.42V,3%,26.00°C,0RPM,20.90°C,422RPM,420RPM,960RPM
4/2/2020 09:05:34 AM,22.00°C,25.00°C,40.00°C,21.00°C,23.00°C,30.00°C,934RPM,652RPM,675RPM,1.43V,3%,26.00°C,0RPM,21.00°C,420RPM,420RPM,930RPM
4/2/2020 09:05:39 AM,22.00°C,25.00°C,36.00°C,21.00°C,24.00°C,30.00°C,925RPM,653RPM,674RPM,1.43V,5%,26.00°C,0RPM,21.00°C,424RPM,420RPM,930RPM
4/2/2020 09:05:44 AM,22.00°C,25.00°C,39.00°C,21.00°C,24.00°C,30.00°C,930RPM,650RPM,672RPM,1.43V,4%,27.00°C,0RPM,21.00°C,420RPM,420RPM,930RPM
4/2/2020 09:05:49 AM,22.00°C,25.00°C,35.00°C,22.00°C,24.00°C,30.00°C,930RPM,651RPM,674RPM,1.43V,2%,27.00°C,0RPM,21.00°C,421RPM,420RPM,930RPM
4/2/2020 09:05:54 AM,23.00°C,25.00°C,38.00°C,22.00°C,24.00°C,30.00°C,926RPM,654RPM,674RPM,0.98V,3%,28.00°C,0RPM,21.00°C,420RPM,420RPM,960RPM
4/2/2020 09:05:59 AM,23.00°C,25.00°C,43.00°C,22.00°C,24.00°C,30.00°C,923RPM,655RPM,674RPM,1.42V,5%,28.00°C,0RPM,21.00°C,420RPM,420RPM,930RPM
4/2/2020 09:06:04 AM,23.00°C,26.00°C,34.00°C,22.00°C,24.00°C,31.00°C,926RPM,651RPM,676RPM,1.43V,3%,28.00°C,0RPM,21.10°C,424RPM,420RPM,960RPM
4/2/2020 09:06:09 AM,23.00°C,26.00°C,31.00°C,22.00°C,24.00°C,31.00°C,927RPM,654RPM,674RPM,1.42V,3%,29.00°C,0RPM,21.10°C,420RPM,420RPM,930RPM
4/2/2020 09:06:14 AM,23.00°C,26.00°C,38.00°C,22.00°C,24.00°C,31.00°C,930RPM,651RPM,678RPM,0.92V,3%,30.00°C,0RPM,21.10°C,420RPM,420RPM,930RPM
4/2/2020 09:06:19 AM,24.00°C,26.00°C,28.00°C,22.00°C,24.00°C,32.00°C,927RPM,652RPM,678RPM,0.90V,3%,30.00°C,0RPM,21.10°C,423RPM,420RPM,960RPM
4/2/2020 09:06:24 AM,24.00°C,27.00°C,25.00°C,23.00°C,24.00°C,32.00°C,931RPM,652RPM,674RPM,0.91V,4%,30.00°C,0RPM,21.00°C,420RPM,420RPM,960RPM
4/2/2020 09:06:29 AM,24.00°C,27.00°C,32.00°C,23.00°C,24.00°C,32.00°C,932RPM,653RPM,679RPM,0.91V,3%,31.00°C,0RPM,21.00°C,420RPM,420RPM,960RPM
4/2/2020 09:06:34 AM,24.00°C,27.00°C,25.00°C,23.00°C,24.00°C,32.00°C,934RPM,652RPM,674RPM,1.45V,3%,31.00°C,0RPM,21.00°C,421RPM,420RPM,960RPM
4/2/2020 09:06:39 AM,24.00°C,27.00°C,30.00°C,23.00°C,24.00°C,32.00°C,932RPM,657RPM,675RPM,0.88V,2%,32.00°C,0RPM,21.00°C,425RPM,420RPM,960RPM
4/2/2020 09:06:44 AM,24.00°C,27.00°C,26.00°C,23.00°C,24.00°C,32.00°C,930RPM,657RPM,678RPM,0.91V,4%,32.00°C,0RPM,20.90°C,420RPM,420RPM,960RPM
4/2/2020 09:06:49 AM,24.00°C,27.00°C,37.00°C,23.00°C,24.00°C,32.00°C,927RPM,658RPM,676RPM,0.89V,2%,32.00°C,0RPM,20.90°C,420RPM,420RPM,960RPM
4/2/2020 09:06:54 AM,24.00°C,28.00°C,28.00°C,24.00°C,24.00°C,32.00°C,935RPM,669RPM,689RPM,0.91V,2%,33.00°C,0RPM,20.90°C,421RPM,420RPM,930RPM
4/2/2020 09:06:59 AM,25.00°C,28.00°C,34.00°C,24.00°C,24.00°C,32.00°C,934RPM,674RPM,692RPM,0.91V,2%,33.00°C,0RPM,20.90°C,424RPM,420RPM,960RPM
