Timestamp,"MB Temp #1","MB Temp #2","MB Temp #3","MB Temp #4","MB Temp #5","MB Temp #6","MB Fan #1","MB Fan #2","MB Fan #3","MB VCPU","CPU Load","GPU Temp","GPU Fan","H115i PRO Temp","H115i PRO Fan #1","H115i PRO Fan #2","H115i PRO Pump"
6/2/2020 11:03:40 AM,22.00°C,24.00°C,43.00°C,21.00°C,23.00°C,28.00°C,920RPM,653RPM,663RPM,0.92V,0%,25.00°C,0RPM,20.90°C,420RPM,420RPM,930RPM
6/2/2020 11:03:45 AM,22.00°C,24.00°C,40.00°C,21.00°C,23.00°C,29.00°C,922RPM,656RPM,664RPM,1.45V,4%,25.00°C,0RPM,20.90°C,423RPM,420RPM,930RPM
6/2/2020 11:03:50 AM,22.00°C,24.00°C,43.00°C,21.00°C,23.00°C,29.00°C,920RPM,654RPM,665RPM,0.96V,1%,26.00°C,0RPM,20.90°C,420RPM,420RPM,930RPM
6/2/2020 11:03:55 AM,22.00°C,25.00°C,35.00°C,21.00°C,24.00°C,30.00°C,920RPM,654RPM,664RPM,0.96V,1%,26.00°C,0RPM,20.90°C,420RPM,426RPM,930RPM
6/2/2020 11:04:00 AM,22.00°C,25.00°C,41.00°C,21.00°C,23.00°C,30.00°C,921RPM,651RPM,665RPM,1.43V,1%,26.00°C,0RPM,21.00°C,423RPM,420RPM,930RPM
6/2/2020 11:04:05 AM,22.00°C,25.00°C,33.00°C,21.00°C,23.00°C,30.00°C,921RPM,650RPM,667RPM,1.48V,1%,27.00°C,0RPM,20.90°C,420RPM,420RPM,930RPM
6/2/2020 11:04:10 AM,22.00°C,25.00°C,40.00°C,22.00°C,24.00°C,30.00°C,925RPM,655RPM,664RPM,1.42V,0%,27.00°C,0RPM,20.90°C,420RPM,420RPM,930RPM
6/2/2020 11:04:15 AM,23.00°C,25.00°C,41.00°C,22.00°C,24.00°C,30.00°C,922RPM,651RPM,666RPM,1.42V,13%,28.00°C,0RPM,20.90°C,420RPM,420RPM,930RPM
6/2/2020 11:04:20 AM,23.00°C,25.00°C,35.00°C,22.00°C,24.00°C,31.00°C,927RPM,655RPM,666RPM,1.45V,1%,28.00°C,0RPM,20.90°C,422RPM,420RPM,930RPM
6/2/2020 11:04:25 AM,23.00°C,25.00°C,41.00°C,22.00°C,24.00°C,31.00°C,923RPM,656RPM,666RPM,1.42V,3%,28.00°C,0RPM,21.00°C,425RPM,420RPM,960RPM
6/2/2020 11:04:30 AM,23.00°C,26.00°C,44.00°C,22.00°C,24.00°C,31.00°C,921RPM,657RPM,667RPM,0.91V,4%,29.00°C,0RPM,21.00°C,420RPM,420RPM,930RPM
6/2/2020 11:04:35 AM,23.00°C,26.00°C,49.00°C,22.00°C,25.00°C,32.00°C,927RPM,657RPM,666RPM,1.42V,8%,30.00°C,0RPM,21.00°C,420RPM,420RPM,930RPM
6/2/2020 11:04:40 AM,23.00°C,26.00°C,44.00°C,22.00°C,24.00°C,32.00°C,921RPM,653RPM,668RPM,1.43V,3%,30.00°C,0RPM,21.10°C,420RPM,420RPM,930RPM
6/2/2020 11:04:45 AM,24.00°C,27.00°C,35.00°C,22.00°C,24.00°C,32.00°C,923RPM,653RPM,668RPM,1.42V,1%,30.00°C,0RPM,21.10°C,420RPM,420RPM,960RPM
6/2/2020 11:04:50 AM,24.00°C,27.00°C,37.00°C,23.00°C,24.00°C,32.00°C,916RPM,658RPM,668RPM,0.90V,3%,31.00°C,0RPM,21.10°C,421RPM,420RPM,930RPM
6/2/2020 11:04:55 AM,24.00°C,27.00°C,33.00°C,23.00°C,24.00°C,32.00°C,927RPM,658RPM,668RPM,0.89V,12%,32.00°C,0RPM,21.10°C,422RPM,423RPM,930RPM
6/2/2020 11:05:00 AM,24.00°C,27.00°C,45.00°C,23.00°C,24.00°C,32.00°C,923RPM,657RPM,669RPM,0.91V,1%,32.00°C,0RPM,21.10°C,423RPM,420RPM,960RPM
6/2/2020 11:05:05 AM,24.00°C,27.00°C,36.00°C,23.00°C,24.00°C,32.00°C,923RPM,656RPM,668RPM,0.91V,2%,32.00°C,0RPM,21.10°C,424RPM,420RPM,930RPM
6/2/2020 11:05:10 AM,24.00°C,27.00°C,32.00°C,23.00°C,25.00°C,32.00°C,925RPM,660RPM,670RPM,1.42V,1%,33.00°C,0RPM,21.10°C,425RPM,421RPM,930RPM
6/2/2020 11:05:15 AM,24.00°C,27.00°C,33.00°C,24.00°C,25.00°C,32.00°C,925RPM,660RPM,670RPM,0.91V,3%,33.00°C,0RPM,21.10°C,425RPM,420RPM,930RPM
6/2/2020 11:05:20 AM,24.00°C,28.00°C,34.00°C,24.00°C,24.00°C,33.00°C,921RPM,674RPM,687RPM,0.89V,3%,33.00°C,0RPM,21.10°C,426RPM,420RPM,960RPM
6/2/2020 11:05:25 AM,24.00°C,28.00°C,30.00°C,24.00°C,25.00°C,33.00°C,921RPM,671RPM,687RPM,0.90V,1%,34.00°C,0RPM,21.10°C,426RPM,420RPM,960RPM
6/2/2020 11:05:30 AM,25.00°C,28.00°C,31.00°C,24.00°C,24.00°C,33.00°C,927RPM,672RPM,686RPM,1.43V,1%,34.00°C,0RPM,21.10°C,426RPM,420RPM,930RPM
6/2/2020 11:05:35 AM,25.00°C,28.00°C,52.00°C,24.00°C,25.00°C,33.00°C,923RPM,672RPM,686RPM,0.92V,8%,35.00°C,0RPM,21.10°C,426RPM,424RPM,930RPM
6/2/2020 11:05:40 AM,25.00°C,28.00°C,47.00°C,25.00°C,25.00°C,33.00°C,927RPM,676RPM,686RPM,1.40V,15%,35.00°C,0RPM,21.10°C,426RPM,420RPM,930RPM
6/2/2020 11:05:45 AM,25.00°C,29.00°C,39.00°C,25.00°C,25.00°C,34.00°C,927RPM,675RPM,685RPM,1.44V,14%,35.00°C,0RPM,21.20°C,426RPM,420RPM,960RPM
6/2/2020 11:05:50 AM,25.00°C,29.00°C,41.00°C,25.00°C,26.00°C,34.00°C,927RPM,672RPM,686RPM,1.43V,8%,35.00°C,0RPM,21.40°C,425RPM,420RPM,930RPM
6/2/2020 11:05:55 AM,25.00°C,29.00°C,47.00°C,25.00°C,26.00°C,34.00°C,930RPM,673RPM,687RPM,1.40V,13%,36.00°C,0RPM,21.50°C,425RPM,420RPM,930RPM
6/2/2020 11:06:00 AM,25.00°C,29.00°C,40.00°C,25.00°C,26.00°C,34.00°C,923RPM,674RPM,687RPM,0.91V,8%,36.00°C,0RPM,21.60°C,424RPM,424RPM,960RPM
6/2/2020 11:06:05 AM,25.00°C,30.00°C,42.00°C,25.00°C,26.00°C,34.00°C,932RPM,676RPM,687RPM,1.43V,9%,36.00°C,0RPM,21.80°C,423RPM,420RPM,960RPM
6/2/2020 11:06:10 AM,25.00°C,30.00°C,39.00°C,25.00°C,26.00°C,34.00°C,930RPM,674RPM,687RPM,0.89V,6%,37.00°C,0RPM,21.80°C,422RPM,426RPM,960RPM
6/2/2020 11:06:15 AM,25.00°C,30.00°C,41.00°C,25.00°C,26.00°C,35.00°C,932RPM,677RPM,688RPM,1.44V,6%,37.00°C,0RPM,21.90°C,421RPM,420RPM,930RPM
6/2/2020 11:06:20 AM,25.00°C,30.00°C,33.00°C,25.00°C,26.00°C,35.00°C,930RPM,676RPM,689RPM,0.89V,3%,38.00°C,0RPM,22.00°C,420RPM,420RPM,930RPM
6/2/2020 11:06:25 AM,25.00°C,30.00°C,38.00°C,25.00°C,26.00°C,35.00°C,930RPM,677RPM,687RPM,0.91V,2%,38.00°C,0RPM,22.00°C,425RPM,420RPM,930RPM
6/2/2020 11:06:30 AM,25.00°C,30.00°C,40.00°C,26.00°C,26.00°C,35.00°C,932RPM,674RPM,690RPM,0.94V,4%,38.00°C,0RPM,21.90°C,422RPM,420RPM,930RPM
6/2/2020 11:06:35 AM,25.00°C,30.00°C,43.00°C,26.00°C,27.00°C,35.00°C,931RPM,675RPM,689RPM,1.43V,8%,39.00°C,0RPM,22.00°C,420RPM,421RPM,930RPM
6/2/2020 11:06:40 AM,25.00°C,30.00°C,41.00°C,26.00°C,27.00°C,35.00°C,927RPM,675RPM,690RPM,1.43V,10%,39.00°C,0RPM,22.10°C,414RPM,420RPM,960RPM
6/2/2020 11:06:45 AM,25.00°C,30.00°C,42.00°C,26.00°C,27.00°C,35.00°C,930RPM,679RPM,689RPM,0.92V,6%,40.00°C,0RPM,22.30°C,414RPM,420RPM,960RPM
6/2/2020 11:06:50 AM,25.00°C,30.00°C,45.00°C,26.00°C,27.00°C,36.00°C,928RPM,678RPM,691RPM,1.45V,7%,40.00°C,0RPM,22.40°C,411RPM,420RPM,930RPM
6/2/2020 11:06:55 AM,25.00°C,31.00°C,41.00°C,27.00°C,27.00°C,36.00°C,927RPM,700RPM,711RPM,0.91V,6%,40.00°C,0RPM,22.50°C,411RPM,422RPM,930RPM
6/2/2020 11:07:00 AM,26.00°C,31.00°C,44.00°C,27.00°C,27.00°C,36.00°C,930RPM,705RPM,721RPM,1.44V,7%,41.00°C,0RPM,22.60°C,411RPM,420RPM,960RPM
6/2/2020 11:07:05 AM,26.00°C,31.00°C,37.00°C,27.00°C,27.00°C,36.00°C,930RPM,705RPM,719RPM,0.91V,8%,41.00°C,0RPM,22.70°C,405RPM,424RPM,960RPM
6/2/2020 11:07:10 AM,26.00°C,31.00°C,43.00°C,27.00°C,27.00°C,36.00°C,930RPM,705RPM,720RPM,0.92V,9%,42.00°C,0RPM,22.70°C,411RPM,420RPM,960RPM
6/2/2020 11:07:15 AM,26.00°C,31.00°C,45.00°C,27.00°C,28.00°C,36.00°C,927RPM,709RPM,719RPM,1.44V,7%,42.00°C,0RPM,22.80°C,408RPM,426RPM,960RPM
6/2/2020 11:07:20 AM,26.00°C,31.00°C,49.00°C,27.00°C,28.00°C,36.00°C,930RPM,707RPM,720RPM,1.43V,7%,42.00°C,0RPM,22.90°C,411RPM,420RPM,960RPM
6/2/2020 11:07:25 AM,26.00°C,31.00°C,45.00°C,27.00°C,28.00°C,36.00°C,928RPM,710RPM,723RPM,1.43V,5%,43.00°C,0RPM,22.90°C,411RPM,426RPM,930RPM
6/2/2020 11:07:30 AM,26.00°C,32.00°C,50.00°C,27.00°C,28.00°C,37.00°C,932RPM,709RPM,721RPM,1.01V,6%,43.00°C,0RPM,22.90°C,411RPM,420RPM,960RPM
6/2/2020 11:07:35 AM,26.00°C,32.00°C,42.00°C,27.00°C,28.00°C,37.00°C,930RPM,707RPM,721RPM,0.91V,6%,43.00°C,0RPM,23.00°C,411RPM,426RPM,960RPM
6/2/2020 11:07:40 AM,26.00°C,32.00°C,48.00°C,28.00°C,29.00°C,37.00°C,927RPM,707RPM,721RPM,1.43V,4%,43.00°C,0RPM,23.10°C,411RPM,420RPM,930RPM
6/2/2020 11:07:45 AM,26.00°C,32.00°C,39.00°C,28.00°C,28.00°C,37.00°C,927RPM,706RPM,720RPM,0.94V,9%,44.00°C,0RPM,23.10°C,411RPM,420RPM,960RPM
6/2/2020 11:07:50 AM,26.00°C,32.00°C,43.00°C,28.00°C,29.00°C,37.00°C,934RPM,711RPM,722RPM,0.94V,8%,44.00°C,0RPM,23.20°C,405RPM,420RPM,930RPM
6/2/2020 11:07:55 AM,26.00°C,32.00°C,39.00°C,28.00°C,28.00°C,37.00°C,936RPM,713RPM,722RPM,1.42V,9%,44.00°C,0RPM,23.20°C,411RPM,420RPM,960RPM
6/2/2020 11:08:00 AM,26.00°C,32.00°C,41.00°C,28.00°C,29.00°C,37.00°C,928RPM,708RPM,723RPM,1.43V,6%,45.00°C,0RPM,23.20°C,407RPM,420RPM,930RPM
6/2/2020 11:08:05 AM,27.00°C,32.00°C,43.00°C,28.00°C,29.00°C,37.00°C,935RPM,723RPM,738RPM,0.92V,6%,45.00°C,0RPM,23.30°C,411RPM,426RPM,930RPM
6/2/2020 11:08:10 AM,26.00°C,32.00°C,39.00°C,29.00°C,29.00°C,37.00°C,934RPM,726RPM,739RPM,1.43V,7%,45.00°C,0RPM,23.30°C,409RPM,420RPM,930RPM
6/2/2020 11:08:15 AM,27.00°C,33.00°C,42.00°C,29.00°C,29.00°C,37.00°C,934RPM,727RPM,737RPM,0.92V,7%,46.00°C,0RPM,23.40°C,411RPM,425RPM,960RPM
6/2/2020 11:08:20 AM,27.00°C,33.00°C,39.00°C,29.00°C,29.00°C,37.00°C,926RPM,727RPM,738RPM,1.42V,6%,46.00°C,0RPM,23.50°C,410RPM,420RPM,960RPM
6/2/2020 11:08:25 AM,27.00°C,33.00°C,43.00°C,29.00°C,30.00°C,38.00°C,930RPM,723RPM,739RPM,1.43V,7%,47.00°C,0RPM,23.50°C,411RPM,423RPM,930RPM
6/2/2020 11:08:30 AM,27.00°C,33.00°C,47.00°C,29.00°C,29.00°C,38.00°C,927RPM,727RPM,739RPM,0.91V,8%,47.00°C,0RPM,23.60°C,411RPM,420RPM,930RPM
6/2/2020 11:08:35 AM,27.00°C,33.00°C,43.00°C,29.00°C,29.00°C,38.00°C,930RPM,727RPM,738RPM,0.91V,5%,47.00°C,0RPM,23.70°C,411RPM,420RPM,930RPM
6/2/2020 11:08:40 AM,27.00°C,33.00°C,37.00°C,30.00°C,30.00°C,38.00°C,930RPM,727RPM,740RPM,0.92V,6%,48.00°C,0RPM,23.70°C,411RPM,420RPM,960RPM
6/2/2020 11:08:45 AM,27.00°C,33.00°C,40.00°C,30.00°C,30.00°C,38.00°C,939RPM,723RPM,739RPM,1.45V,7%,48.00°C,0RPM,23.80°C,411RPM,420RPM,960RPM
6/2/2020 11:08:50 AM,27.00°C,33.00°C,37.00°C,30.00°C,30.00°C,38.00°C,947RPM,723RPM,740RPM,0.92V,5%,48.00°C,0RPM,23.80°C,411RPM,425RPM,960RPM
6/2/2020 11:08:55 AM,27.00°C,33.00°C,39.00°C,30.00°C,30.00°C,38.00°C,948RPM,727RPM,738RPM,0.92V,6%,48.00°C,0RPM,23.80°C,411RPM,420RPM,960RPM
6/2/2020 11:09:00 AM,27.00°C,34.00°C,41.00°C,30.00°C,30.00°C,38.00°C,944RPM,723RPM,740RPM,0.91V,6%,49.00°C,0RPM,23.80°C,411RPM,421RPM,960RPM
6/2/2020 11:09:05 AM,27.00°C,33.00°C,37.00°C,30.00°C,29.00°C,38.00°C,948RPM,728RPM,740RPM,0.92V,8%,49.00°C,0RPM,23.80°C,411RPM,420RPM,930RPM
6/2/2020 11:09:10 AM,27.00°C,34.00°C,40.00°C,30.00°C,30.00°C,38.00°C,948RPM,730RPM,740RPM,1.42V,5%,49.00°C,0RPM,23.90°C,411RPM,420RPM,960RPM
6/2/2020 11:09:15 AM,27.00°C,34.00°C,42.00°C,30.00°C,30.00°C,39.00°C,945RPM,723RPM,740RPM,0.94V,10%,50.00°C,0RPM,23.90°C,411RPM,425RPM,960RPM
6/2/2020 11:09:20 AM,27.00°C,34.00°C,38.00°C,30.00°C,30.00°C,39.00°C,945RPM,727RPM,739RPM,1.42V,8%,50.00°C,0RPM,24.00°C,411RPM,420RPM,930RPM
6/2/2020 11:09:25 AM,27.00°C,34.00°C,43.00°C,30.00°C,30.00°C,39.00°C,945RPM,732RPM,742RPM,0.92V,7%,50.00°C,0RPM,24.00°C,411RPM,421RPM,960RPM
6/2/2020 11:09:30 AM,27.00°C,34.00°C,47.00°C,31.00°C,30.00°C,39.00°C,948RPM,727RPM,740RPM,0.92V,8%,51.00°C,0RPM,24.10°C,410RPM,420RPM,960RPM
6/2/2020 11:09:35 AM,27.00°C,34.00°C,43.00°C,31.00°C,30.00°C,39.00°C,952RPM,729RPM,742RPM,1.43V,6%,51.00°C,0RPM,24.20°C,411RPM,420RPM,960RPM
6/2/2020 11:09:40 AM,27.00°C,34.00°C,45.00°C,31.00°C,30.00°C,39.00°C,948RPM,733RPM,740RPM,1.44V,8%,51.00°C,0RPM,24.30°C,407RPM,423RPM,960RPM
6/2/2020 11:09:45 AM,27.00°C,34.00°C,47.00°C,31.00°C,30.00°C,39.00°C,949RPM,731RPM,742RPM,0.92V,6%,51.00°C,0RPM,24.30°C,411RPM,420RPM,960RPM
6/2/2020 11:09:50 AM,27.00°C,34.00°C,43.00°C,31.00°C,30.00°C,39.00°C,945RPM,727RPM,741RPM,0.92V,4%,51.00°C,0RPM,24.40°C,411RPM,420RPM,960RPM
6/2/2020 11:09:55 AM,27.00°C,34.00°C,45.00°C,31.00°C,30.00°C,39.00°C,948RPM,730RPM,742RPM,0.92V,7%,52.00°C,0RPM,24.40°C,411RPM,423RPM,960RPM
6/2/2020 11:10:00 AM,28.00°C,34.00°C,37.00°C,31.00°C,30.00°C,39.00°C,941RPM,753RPM,771RPM,0.91V,3%,52.00°C,0RPM,24.40°C,411RPM,420RPM,960RPM
6/2/2020 11:10:05 AM,28.00°C,34.00°C,42.00°C,32.00°C,30.00°C,39.00°C,941RPM,758RPM,771RPM,0.91V,2%,52.00°C,0RPM,24.50°C,410RPM,414RPM,930RPM
6/2/2020 11:10:10 AM,28.00°C,34.00°C,45.00°C,32.00°C,30.00°C,39.00°C,944RPM,758RPM,771RPM,0.89V,15%,52.00°C,0RPM,24.50°C,411RPM,420RPM,960RPM
6/2/2020 11:10:15 AM,28.00°C,34.00°C,48.00°C,32.00°C,31.00°C,39.00°C,941RPM,755RPM,770RPM,1.44V,10%,53.00°C,700RPM,24.50°C,406RPM,420RPM,960RPM
6/2/2020 11:10:20 AM,28.00°C,34.00°C,45.00°C,32.00°C,31.00°C,39.00°C,944RPM,759RPM,770RPM,0.94V,4%,52.00°C,780RPM,24.50°C,411RPM,420RPM,960RPM
6/2/2020 11:10:25 AM,28.00°C,34.00°C,46.00°C,32.00°C,31.00°C,40.00°C,943RPM,756RPM,770RPM,0.91V,6%,52.00°C,820RPM,24.60°C,411RPM,424RPM,960RPM
6/2/2020 11:10:30 AM,28.00°C,35.00°C,38.00°C,32.00°C,31.00°C,40.00°C,945RPM,760RPM,768RPM,1.43V,7%,51.00°C,864RPM,24.70°C,410RPM,420RPM,960RPM
6/2/2020 11:10:35 AM,29.00°C,35.00°C,35.00°C,33.00°C,31.00°C,40.00°C,945RPM,776RPM,786RPM,0.92V,4%,51.00°C,865RPM,24.70°C,411RPM,420RPM,960RPM
6/2/2020 11:10:40 AM,29.00°C,35.00°C,35.00°C,33.00°C,31.00°C,40.00°C,945RPM,784RPM,799RPM,0.94V,4%,50.00°C,826RPM,24.70°C,411RPM,423RPM,930RPM
6/2/2020 11:10:45 AM,29.00°C,35.00°C,37.00°C,33.00°C,31.00°C,40.00°C,943RPM,784RPM,799RPM,0.90V,3%,49.00°C,789RPM,24.70°C,411RPM,420RPM,930RPM
6/2/2020 11:10:50 AM,29.00°C,35.00°C,42.00°C,33.00°C,31.00°C,40.00°C,944RPM,789RPM,800RPM,0.90V,4%,49.00°C,790RPM,24.70°C,411RPM,420RPM,930RPM
6/2/2020 11:10:55 AM,29.00°C,35.00°C,43.00°C,33.00°C,31.00°C,40.00°C,945RPM,790RPM,800RPM,0.92V,4%,49.00°C,788RPM,24.70°C,411RPM,423RPM,930RPM
6/2/2020 11:11:00 AM,29.00°C,35.00°C,43.00°C,33.00°C,31.00°C,40.00°C,944RPM,786RPM,802RPM,0.90V,3%,48.00°C,789RPM,24.70°C,411RPM,426RPM,930RPM
6/2/2020 11:11:05 AM,30.00°C,35.00°C,39.00°C,33.00°C,31.00°C,40.00°C,944RPM,816RPM,826RPM,0.91V,2%,48.00°C,790RPM,24.70°C,411RPM,420RPM,930RPM
6/2/2020 11:11:10 AM,30.00°C,35.00°C,40.00°C,33.00°C,31.00°C,40.00°C,939RPM,819RPM,828RPM,0.91V,3%,47.00°C,790RPM,24.80°C,406RPM,420RPM,960RPM
6/2/2020 11:11:15 AM,30.00°C,36.00°C,36.00°C,34.00°C,31.00°C,40.00°C,940RPM,819RPM,829RPM,0.91V,3%,47.00°C,791RPM,24.80°C,411RPM,423RPM,960RPM
6/2/2020 11:11:20 AM,30.00°C,36.00°C,37.00°C,34.00°C,31.00°C,40.00°C,941RPM,817RPM,832RPM,0.91V,4%,47.00°C,789RPM,24.80°C,411RPM,426RPM,930RPM
6/2/2020 11:11:25 AM,30.00°C,36.00°C,38.00°C,34.00°C,31.00°C,40.00°C,947RPM,820RPM,830RPM,0.91V,2%,47.00°C,790RPM,24.90°C,406RPM,420RPM,930RPM
6/2/2020 11:11:30 AM,30.00°C,36.00°C,43.00°C,34.00°C,31.00°C,40.00°C,943RPM,816RPM,831RPM,0.91V,3%,46.00°C,790RPM,24.90°C,411RPM,420RPM,930RPM
6/2/2020 11:11:35 AM,30.00°C,36.00°C,43.00°C,34.00°C,31.00°C,40.00°C,945RPM,821RPM,830RPM,0.90V,3%,46.00°C,791RPM,24.90°C,411RPM,424RPM,960RPM
6/2/2020 11:11:40 AM,30.00°C,36.00°C,44.00°C,34.00°C,32.00°C,40.00°C,941RPM,819RPM,831RPM,1.43V,5%,45.00°C,791RPM,25.00°C,411RPM,420RPM,960RPM
6/2/2020 11:11:45 AM,30.00°C,36.00°C,40.00°C,34.00°C,32.00°C,40.00°C,945RPM,819RPM,835RPM,0.92V,5%,45.00°C,0RPM,25.00°C,411RPM,420RPM,960RPM
6/2/2020 11:11:50 AM,30.00°C,36.00°C,41.00°C,34.00°C,32.00°C,40.00°C,952RPM,817RPM,834RPM,0.91V,3%,46.00°C,0RPM,25.10°C,411RPM,420RPM,930RPM
6/2/2020 11:11:55 AM,30.00°C,36.00°C,42.00°C,34.00°C,32.00°C,40.00°C,944RPM,819RPM,837RPM,0.92V,5%,46.00°C,0RPM,25.20°C,411RPM,423RPM,960RPM
6/2/2020 11:12:00 AM,30.00°C,36.00°C,47.00°C,34.00°C,32.00°C,41.00°C,945RPM,821RPM,834RPM,0.90V,4%,47.00°C,0RPM,25.20°C,411RPM,425RPM,960RPM
6/2/2020 11:12:05 AM,30.00°C,36.00°C,39.00°C,34.00°C,32.00°C,41.00°C,948RPM,820RPM,837RPM,0.92V,3%,47.00°C,0RPM,25.20°C,410RPM,420RPM,960RPM
6/2/2020 11:12:10 AM,30.00°C,36.00°C,41.00°C,34.00°C,32.00°C,41.00°C,952RPM,821RPM,836RPM,0.91V,3%,47.00°C,0RPM,25.30°C,411RPM,420RPM,960RPM
